,country,year,rtfpna
0,ABW,1950,
1,ABW,1951,
2,ABW,1952,
3,ABW,1953,
4,ABW,1954,
5,ABW,1955,
6,ABW,1956,
7,ABW,1957,
8,ABW,1958,
9,ABW,1959,
10,ABW,1960,
11,ABW,1961,
12,ABW,1962,
13,ABW,1963,
14,ABW,1964,
15,ABW,1965,
16,ABW,1966,
17,ABW,1967,
18,ABW,1968,
19,ABW,1969,
20,ABW,1970,
21,ABW,1971,
22,ABW,1972,
23,ABW,1973,
24,ABW,1974,
25,ABW,1975,
26,ABW,1976,
27,ABW,1977,
28,ABW,1978,
29,ABW,1979,
30,ABW,1980,
31,ABW,1981,
32,ABW,1982,
33,ABW,1983,
34,ABW,1984,
35,ABW,1985,
36,ABW,1986,
37,ABW,1987,
38,ABW,1988,
39,ABW,1989,
40,ABW,1990,
41,ABW,1991,
42,ABW,1992,
43,ABW,1993,
44,ABW,1994,
45,ABW,1995,
46,ABW,1996,
47,ABW,1997,
48,ABW,1998,
49,ABW,1999,
50,ABW,2000,
51,ABW,2001,
52,ABW,2002,
53,ABW,2003,
54,ABW,2004,
55,ABW,2005,
56,ABW,2006,
57,ABW,2007,
58,ABW,2008,
59,ABW,2009,
60,ABW,2010,
61,ABW,2011,
62,ABW,2012,
63,ABW,2013,
64,ABW,2014,
65,ABW,2015,
66,ABW,2016,
67,ABW,2017,
68,ABW,2018,
69,ABW,2019,
70,AGO,1950,
71,AGO,1951,
72,AGO,1952,
73,AGO,1953,
74,AGO,1954,
75,AGO,1955,
76,AGO,1956,
77,AGO,1957,
78,AGO,1958,
79,AGO,1959,
80,AGO,1960,
81,AGO,1961,
82,AGO,1962,
83,AGO,1963,
84,AGO,1964,
85,AGO,1965,
86,AGO,1966,
87,AGO,1967,
88,AGO,1968,
89,AGO,1969,
90,AGO,1970,
91,AGO,1971,
92,AGO,1972,
93,AGO,1973,
94,AGO,1974,1.227137327194214
95,AGO,1975,1.1220051050186155
96,AGO,1976,1.025298833847046
97,AGO,1977,0.99682879447937
98,AGO,1978,0.9150517582893372
99,AGO,1979,0.8913413882255554
100,AGO,1980,0.8922414183616638
101,AGO,1981,0.8310855627059937
102,AGO,1982,0.8065093159675598
103,AGO,1983,0.818384051322937
104,AGO,1984,0.8420646786689758
105,AGO,1985,0.8555965423583984
106,AGO,1986,0.8742794990539551
107,AGO,1987,0.9193112850189208
108,AGO,1988,0.9583576917648317
109,AGO,1989,0.9535272121429444
110,AGO,1990,0.9426296353340148
111,AGO,1991,0.9156399965286256
112,AGO,1992,0.8096897006034851
113,AGO,1993,0.5872297286987305
114,AGO,1994,0.5688349008560181
115,AGO,1995,0.6123675107955933
116,AGO,1996,0.6319807171821594
117,AGO,1997,0.6442277431488037
118,AGO,1998,0.6274903416633606
119,AGO,1999,0.6079476475715637
120,AGO,2000,0.6168272495269775
121,AGO,2001,0.6305986046791077
122,AGO,2002,0.7152211666107178
123,AGO,2003,0.7217898964881897
124,AGO,2004,0.7749511003494263
125,AGO,2005,0.8633379340171814
126,AGO,2006,0.9345720410346984
127,AGO,2007,1.0301895141601562
128,AGO,2008,1.0850582122802734
129,AGO,2009,1.040212631225586
130,AGO,2010,1.0594196319580078
131,AGO,2011,1.036203384399414
132,AGO,2012,1.076979637145996
133,AGO,2013,1.0862818956375122
134,AGO,2014,1.096832513809204
135,AGO,2015,1.0682281255722046
136,AGO,2016,1.0160540342330933
137,AGO,2017,1.0
138,AGO,2018,0.9633560180664062
139,AGO,2019,0.937804400920868
140,AIA,1950,
141,AIA,1951,
142,AIA,1952,
143,AIA,1953,
144,AIA,1954,
145,AIA,1955,
146,AIA,1956,
147,AIA,1957,
148,AIA,1958,
149,AIA,1959,
150,AIA,1960,
151,AIA,1961,
152,AIA,1962,
153,AIA,1963,
154,AIA,1964,
155,AIA,1965,
156,AIA,1966,
157,AIA,1967,
158,AIA,1968,
159,AIA,1969,
160,AIA,1970,
161,AIA,1971,
162,AIA,1972,
163,AIA,1973,
164,AIA,1974,
165,AIA,1975,
166,AIA,1976,
167,AIA,1977,
168,AIA,1978,
169,AIA,1979,
170,AIA,1980,
171,AIA,1981,
172,AIA,1982,
173,AIA,1983,
174,AIA,1984,
175,AIA,1985,
176,AIA,1986,
177,AIA,1987,
178,AIA,1988,
179,AIA,1989,
180,AIA,1990,
181,AIA,1991,
182,AIA,1992,
183,AIA,1993,
184,AIA,1994,
185,AIA,1995,
186,AIA,1996,
187,AIA,1997,
188,AIA,1998,
189,AIA,1999,
190,AIA,2000,
191,AIA,2001,
192,AIA,2002,
193,AIA,2003,
194,AIA,2004,
195,AIA,2005,
196,AIA,2006,
197,AIA,2007,
198,AIA,2008,
199,AIA,2009,
200,AIA,2010,
201,AIA,2011,
202,AIA,2012,
203,AIA,2013,
204,AIA,2014,
205,AIA,2015,
206,AIA,2016,
207,AIA,2017,
208,AIA,2018,
209,AIA,2019,
210,ALB,1950,
211,ALB,1951,
212,ALB,1952,
213,ALB,1953,
214,ALB,1954,
215,ALB,1955,
216,ALB,1956,
217,ALB,1957,
218,ALB,1958,
219,ALB,1959,
220,ALB,1960,
221,ALB,1961,
222,ALB,1962,
223,ALB,1963,
224,ALB,1964,
225,ALB,1965,
226,ALB,1966,
227,ALB,1967,
228,ALB,1968,
229,ALB,1969,
230,ALB,1970,
231,ALB,1971,
232,ALB,1972,
233,ALB,1973,
234,ALB,1974,
235,ALB,1975,
236,ALB,1976,
237,ALB,1977,
238,ALB,1978,
239,ALB,1979,
240,ALB,1980,
241,ALB,1981,
242,ALB,1982,
243,ALB,1983,
244,ALB,1984,
245,ALB,1985,
246,ALB,1986,
247,ALB,1987,
248,ALB,1988,
249,ALB,1989,
250,ALB,1990,
251,ALB,1991,
252,ALB,1992,
253,ALB,1993,
254,ALB,1994,
255,ALB,1995,
256,ALB,1996,
257,ALB,1997,
258,ALB,1998,
259,ALB,1999,
260,ALB,2000,
261,ALB,2001,
262,ALB,2002,
263,ALB,2003,
264,ALB,2004,
265,ALB,2005,
266,ALB,2006,
267,ALB,2007,
268,ALB,2008,
269,ALB,2009,
270,ALB,2010,
271,ALB,2011,
272,ALB,2012,
273,ALB,2013,
274,ALB,2014,
275,ALB,2015,
276,ALB,2016,
277,ALB,2017,
278,ALB,2018,
279,ALB,2019,
280,ARE,1950,
281,ARE,1951,
282,ARE,1952,
283,ARE,1953,
284,ARE,1954,
285,ARE,1955,
286,ARE,1956,
287,ARE,1957,
288,ARE,1958,
289,ARE,1959,
290,ARE,1960,
291,ARE,1961,
292,ARE,1962,
293,ARE,1963,
294,ARE,1964,
295,ARE,1965,
296,ARE,1966,
297,ARE,1967,
298,ARE,1968,
299,ARE,1969,
300,ARE,1970,
301,ARE,1971,
302,ARE,1972,
303,ARE,1973,
304,ARE,1974,
305,ARE,1975,
306,ARE,1976,
307,ARE,1977,
308,ARE,1978,
309,ARE,1979,
310,ARE,1980,
311,ARE,1981,
312,ARE,1982,
313,ARE,1983,
314,ARE,1984,
315,ARE,1985,
316,ARE,1986,
317,ARE,1987,
318,ARE,1988,
319,ARE,1989,
320,ARE,1990,
321,ARE,1991,
322,ARE,1992,
323,ARE,1993,
324,ARE,1994,
325,ARE,1995,
326,ARE,1996,
327,ARE,1997,
328,ARE,1998,
329,ARE,1999,
330,ARE,2000,
331,ARE,2001,
332,ARE,2002,
333,ARE,2003,
334,ARE,2004,
335,ARE,2005,
336,ARE,2006,
337,ARE,2007,
338,ARE,2008,
339,ARE,2009,
340,ARE,2010,
341,ARE,2011,
342,ARE,2012,
343,ARE,2013,
344,ARE,2014,
345,ARE,2015,
346,ARE,2016,
347,ARE,2017,
348,ARE,2018,
349,ARE,2019,
350,ARG,1950,
351,ARG,1951,
352,ARG,1952,
353,ARG,1953,
354,ARG,1954,1.1334630250930786
355,ARG,1955,1.1580088138580322
356,ARG,1956,1.1448030471801758
357,ARG,1957,1.1425997018814087
358,ARG,1958,1.1692899465560913
359,ARG,1959,1.076521635055542
360,ARG,1960,1.130355954170227
361,ARG,1961,1.1073362827301023
362,ARG,1962,1.07195782661438
363,ARG,1963,1.0095785856246948
364,ARG,1964,1.0501916408538818
365,ARG,1965,1.108433961868286
366,ARG,1966,1.0798001289367676
367,ARG,1967,1.079348087310791
368,ARG,1968,1.1014137268066406
369,ARG,1969,1.155310869216919
370,ARG,1970,1.1488375663757324
371,ARG,1971,1.1454107761383057
372,ARG,1972,1.126171588897705
373,ARG,1973,1.1330759525299072
374,ARG,1974,1.1457139253616333
375,ARG,1975,1.109689474105835
376,ARG,1976,1.08239483833313
377,ARG,1977,1.0990407466888428
378,ARG,1978,1.036466121673584
379,ARG,1979,1.073393702507019
380,ARG,1980,1.0590935945510864
381,ARG,1981,0.984093189239502
382,ARG,1982,0.9402672648429872
383,ARG,1983,0.9582361578941344
384,ARG,1984,0.9596025943756104
385,ARG,1985,0.8861661553382874
386,ARG,1986,0.9334824681282043
387,ARG,1987,0.9407810568809508
388,ARG,1988,0.9081149697303772
389,ARG,1989,0.8400448560714722
390,ARG,1990,0.8204628825187683
391,ARG,1991,0.8892956972122192
392,ARG,1992,0.9607827067375184
393,ARG,1993,0.9957846403121948
394,ARG,1994,1.0203627347946167
395,ARG,1995,0.9935498833656312
396,ARG,1996,1.0188851356506348
397,ARG,1997,1.0547488927841189
398,ARG,1998,1.05006742477417
399,ARG,1999,0.9988321661949158
400,ARG,2000,0.9809260964393616
401,ARG,2001,0.94331556558609
402,ARG,2002,0.8635594844818115
403,ARG,2003,0.9217496514320374
404,ARG,2004,0.9643454551696776
405,ARG,2005,1.0061732530593872
406,ARG,2006,1.048696756362915
407,ARG,2007,1.0891653299331665
408,ARG,2008,1.0881801843643188
409,ARG,2009,1.0148755311965942
410,ARG,2010,1.076451301574707
411,ARG,2011,1.095310091972351
412,ARG,2012,1.059535026550293
413,ARG,2013,1.0568348169326782
414,ARG,2014,1.0136449337005615
415,ARG,2015,1.0123841762542725
416,ARG,2016,0.9994513392448424
417,ARG,2017,1.0
418,ARG,2018,0.9630131125450134
419,ARG,2019,0.9315008521080016
420,ARM,1950,
421,ARM,1951,
422,ARM,1952,
423,ARM,1953,
424,ARM,1954,
425,ARM,1955,
426,ARM,1956,
427,ARM,1957,
428,ARM,1958,
