,year,General government final consumption expenditure (% of GDP),country
0,1960,..,AFG
1,1960,..,ALB
2,1960,26.6654194665797,DZA
3,1960,..,ASM
4,1960,..,AND
5,1960,..,AGO
6,1960,..,ATG
7,1960,9.88044509523395,ARG
8,1960,..,ARM
9,1960,..,ABW
10,1960,11.0930540508005,AUS
11,1960,..,AUT
12,1960,..,AZE
13,1960,..,BHS
14,1960,..,BHR
15,1960,6.19158078945777,BGD
16,1960,..,BRB
17,1960,..,BLR
18,1960,..,BEL
19,1960,..,BLZ
20,1960,10.154439717883,BEN
21,1960,..,BMU
22,1960,..,BTN
23,1960,8.6403215003349,BOL
24,1960,..,BIH
25,1960,18.135720574745,BWA
26,1960,12.5596955904002,BRA
27,1960,..,VGB
28,1960,..,BRN
29,1960,..,BGR
30,1960,7.42652061799036,BFA
31,1960,2.67857156523324,BDI
32,1960,..,CPV
33,1960,..,KHM
34,1960,..,CMR
35,1960,..,CAN
36,1960,..,CYM
37,1960,19.2727184145465,CAF
38,1960,12.6253614649825,TCD
39,1960,..,Channel Islands
40,1960,10.1146016895521,CHL
41,1960,12.6315075001697,CHN
42,1960,6.37628417711344,COL
43,1960,..,COM
44,1960,..,COD
45,1960,15.0959692968987,COG
46,1960,10.3513364550717,CRI
47,1960,7.93812644171078,CIV
48,1960,..,HRV
49,1960,..,CUB
50,1960,..,CUW
51,1960,..,CYP
52,1960,..,CZE
53,1960,..,DNK
54,1960,..,DJI
55,1960,..,DMA
56,1960,13.3105353854263,DOM
57,1960,8.86943258441837,ECU
58,1960,15.5720917531404,EGY
59,1960,..,SLV
60,1960,..,GNQ
61,1960,..,ERI
62,1960,..,EST
63,1960,..,SWZ
64,1960,..,ETH
65,1960,..,FRO
66,1960,..,FJI
67,1960,..,FIN
68,1960,14.8704934277991,FRA
69,1960,..,PYF
70,1960,9.77962571722125,GAB
71,1960,..,GMB
72,1960,..,GEO
73,1960,..,DEU
74,1960,10.0115074798619,GHA
75,1960,..,GIB
76,1960,12.4644627835671,GRC
77,1960,..,GRL
78,1960,..,GRD
79,1960,..,GUM
80,1960,7.6561908447864,GTM
81,1960,..,GIN
82,1960,..,GNB
83,1960,11.4461960246744,GUY
84,1960,..,HTI
85,1960,11.0233874571726,HND
86,1960,7.81918330940151,HKG
87,1960,..,HUN
88,1960,..,ISL
89,1960,6.57349198905266,IND
90,1960,11.5581752947207,IDN
91,1960,10.5171409906228,IRN
92,1960,..,IRQ
93,1960,..,IRL
94,1960,..,IMN
95,1960,..,ISR
96,1960,..,ITA
97,1960,7.16271081418992,JAM
98,1960,..,JPN
99,1960,..,JOR
100,1960,..,KAZ
101,1960,10.9591495841468,KEN
102,1960,..,KIR
103,1960,..,PRK
104,1960,14.2456982793117,KOR
105,1960,..,XKX
106,1960,..,KWT
107,1960,..,KGZ
108,1960,..,LAO
109,1960,..,LVA
110,1960,..,LBN
111,1960,16.5991902834008,LSO
112,1960,..,LBR
