,indicator,year,Gross capital formation (% of GDP),country
0,Gross capital formation (% of GDP),1970,,ABW
1,Gross capital formation (% of GDP),1970,,Africa Eastern and Southern
2,Gross capital formation (% of GDP),1970,,AFG
3,Gross capital formation (% of GDP),1970,,Africa Western and Central
4,Gross capital formation (% of GDP),1970,,AGO
5,Gross capital formation (% of GDP),1970,,ALB
6,Gross capital formation (% of GDP),1970,,AND
7,Gross capital formation (% of GDP),1970,19.5848501204906,Arab World
8,Gross capital formation (% of GDP),1970,,ARE
9,Gross capital formation (% of GDP),1970,24.4400952475051,ARG
10,Gross capital formation (% of GDP),1970,,ARM
11,Gross capital formation (% of GDP),1970,,ASM
12,Gross capital formation (% of GDP),1970,,ATG
13,Gross capital formation (% of GDP),1970,32.9729583265594,AUS
14,Gross capital formation (% of GDP),1970,31.4333409830536,AUT
15,Gross capital formation (% of GDP),1970,,AZE
16,Gross capital formation (% of GDP),1970,4.53079461935769,BDI
17,Gross capital formation (% of GDP),1970,29.6566888191858,BEL
18,Gross capital formation (% of GDP),1970,11.5923801456269,BEN
19,Gross capital formation (% of GDP),1970,10.270033771264,BFA
20,Gross capital formation (% of GDP),1970,11.3446569376759,BGD
21,Gross capital formation (% of GDP),1970,,BGR
22,Gross capital formation (% of GDP),1970,,BHR
23,Gross capital formation (% of GDP),1970,,BHS
24,Gross capital formation (% of GDP),1970,,BIH
25,Gross capital formation (% of GDP),1970,,BLR
26,Gross capital formation (% of GDP),1970,,BLZ
27,Gross capital formation (% of GDP),1970,,BMU
28,Gross capital formation (% of GDP),1970,16.3880152292667,BOL
29,Gross capital formation (% of GDP),1970,20.5420007091554,BRA
30,Gross capital formation (% of GDP),1970,,BRB
31,Gross capital formation (% of GDP),1970,,BRN
32,Gross capital formation (% of GDP),1970,,BTN
33,Gross capital formation (% of GDP),1970,45.3226976069616,BWA
34,Gross capital formation (% of GDP),1970,17.9836725059846,CAF
35,Gross capital formation (% of GDP),1970,22.1242947392729,CAN
36,Gross capital formation (% of GDP),1970,,Central Europe and the Baltics
37,Gross capital formation (% of GDP),1970,40.5072897198929,CHE
38,Gross capital formation (% of GDP),1970,,Channel Islands
39,Gross capital formation (% of GDP),1970,16.9120916809652,CHL
40,Gross capital formation (% of GDP),1970,32.8162153192607,CHN
41,Gross capital formation (% of GDP),1970,22.4956529301408,CIV
42,Gross capital formation (% of GDP),1970,16.0276563140363,CMR
43,Gross capital formation (% of GDP),1970,,COD
44,Gross capital formation (% of GDP),1970,24.2105182894737,COG
45,Gross capital formation (% of GDP),1970,20.2322848879248,COL
46,Gross capital formation (% of GDP),1970,,COM
47,Gross capital formation (% of GDP),1970,,CPV
48,Gross capital formation (% of GDP),1970,20.5364402034314,CRI
49,Gross capital formation (% of GDP),1970,,Caribbean small states
50,Gross capital formation (% of GDP),1970,25.9269410117525,CUB
51,Gross capital formation (% of GDP),1970,,CUW
52,Gross capital formation (% of GDP),1970,,CYM
53,Gross capital formation (% of GDP),1970,,CYP
54,Gross capital formation (% of GDP),1970,,CZE
55,Gross capital formation (% of GDP),1970,33.278578878368,DEU
56,Gross capital formation (% of GDP),1970,,DJI
57,Gross capital formation (% of GDP),1970,,DMA
58,Gross capital formation (% of GDP),1970,26.7461761278856,DNK
59,Gross capital formation (% of GDP),1970,19.1434533826994,DOM
60,Gross capital formation (% of GDP),1970,36.6490688527348,DZA
61,Gross capital formation (% of GDP),1970,31.0740099744239,East Asia & Pacific (
62,Gross capital formation (% of GDP),1970,21.5471444663048,Early-demographic dividend
63,Gross capital formation (% of GDP),1970,36.7799589357921,East Asia & Pacific
64,Gross capital formation (% of GDP),1970,,Europe & Central Asia (
65,Gross capital formation (% of GDP),1970,29.5855946738495,Europe & Central Asia
66,Gross capital formation (% of GDP),1970,16.3593990071063,ECU
67,Gross capital formation (% of GDP),1970,14.6020739630185,EGY
68,Gross capital formation (% of GDP),1970,30.0489614837337,Euro area
69,Gross capital formation (% of GDP),1970,,ERI
70,Gross capital formation (% of GDP),1970,28.3592795052176,ESP
71,Gross capital formation (% of GDP),1970,,EST
72,Gross capital formation (% of GDP),1970,,ETH
73,Gross capital formation (% of GDP),1970,30.1876623869633,European Union
74,Gross capital formation (% of GDP),1970,,Fragile and conflict affected situations
75,Gross capital formation (% of GDP),1970,31.8216799928711,FIN
76,Gross capital formation (% of GDP),1970,,FJI
77,Gross capital formation (% of GDP),1970,28.7562583855433,FRA
78,Gross capital formation (% of GDP),1970,,FRO
79,Gross capital formation (% of GDP),1970,,FSM
80,Gross capital formation (% of GDP),1970,31.9553001217206,GAB
81,Gross capital formation (% of GDP),1970,24.4080218912417,GBR
82,Gross capital formation (% of GDP),1970,,GEO
83,Gross capital formation (% of GDP),1970,14.165559982293,GHA
84,Gross capital formation (% of GDP),1970,,GIB
85,Gross capital formation (% of GDP),1970,,GIN
86,Gross capital formation (% of GDP),1970,6.889857732905,GMB
87,Gross capital formation (% of GDP),1970,29.5728972581679,GNB
88,Gross capital formation (% of GDP),1970,,GNQ
89,Gross capital formation (% of GDP),1970,33.6493817892242,GRC
90,Gross capital formation (% of GDP),1970,,GRD
91,Gross capital formation (% of GDP),1970,,GRL
