,year,hc,country
0,1950,,ABW
1,1951,,ABW
2,1952,,ABW
3,1953,,ABW
4,1954,,ABW
5,1955,,ABW
6,1956,,ABW
7,1957,,ABW
8,1958,,ABW
9,1959,,ABW
10,1960,,ABW
11,1961,,ABW
12,1962,,ABW
13,1963,,ABW
14,1964,,ABW
15,1965,,ABW
16,1966,,ABW
17,1967,,ABW
18,1968,,ABW
19,1969,,ABW
20,1970,,ABW
21,1971,,ABW
22,1972,,ABW
23,1973,,ABW
24,1974,,ABW
25,1975,,ABW
26,1976,,ABW
27,1977,,ABW
28,1978,,ABW
29,1979,,ABW
30,1980,,ABW
31,1981,,ABW
32,1982,,ABW
33,1983,,ABW
34,1984,,ABW
35,1985,,ABW
36,1986,,ABW
37,1987,,ABW
38,1988,,ABW
39,1989,,ABW
40,1990,,ABW
41,1991,,ABW
42,1992,,ABW
43,1993,,ABW
44,1994,,ABW
45,1995,,ABW
46,1996,,ABW
47,1997,,ABW
48,1998,,ABW
49,1999,,ABW
50,2000,,ABW
51,2001,,ABW
52,2002,,ABW
53,2003,,ABW
54,2004,,ABW
55,2005,,ABW
56,2006,,ABW
57,2007,,ABW
58,2008,,ABW
59,2009,,ABW
60,2010,,ABW
61,2011,,ABW
62,2012,,ABW
63,2013,,ABW
64,2014,,ABW
65,2015,,ABW
66,2016,,ABW
67,2017,,ABW
68,2018,,ABW
69,2019,,ABW
70,1950,,AGO
71,1951,,AGO
72,1952,,AGO
73,1953,,AGO
74,1954,,AGO
75,1955,,AGO
76,1956,,AGO
77,1957,,AGO
78,1958,,AGO
79,1959,,AGO
80,1960,,AGO
81,1961,,AGO
82,1962,,AGO
83,1963,,AGO
84,1964,,AGO
85,1965,,AGO
86,1966,,AGO
87,1967,,AGO
88,1968,,AGO
89,1969,,AGO
90,1970,1.015685796737671,AGO
91,1971,1.018195629119873,AGO
92,1972,1.0207115411758423,AGO
93,1973,1.0232337713241577,AGO
94,1974,1.0257622003555298,AGO
95,1975,1.0282968282699585,AGO
96,1976,1.0308377742767334,AGO
97,1977,1.0333850383758545,AGO
98,1978,1.0359385013580322,AGO
99,1979,1.0384982824325562,AGO
100,1980,1.0410643815994263,AGO
101,1981,1.050380825996399,AGO
102,1982,1.0597805976867676,AGO
103,1983,1.0692644119262695,AGO
104,1984,1.0788332223892212,AGO
105,1985,1.0884875059127808,AGO
106,1986,1.0982283353805542,AGO
107,1987,1.1080563068389893,AGO
108,1988,1.1179721355438232,AGO
109,1989,1.1279767751693726,AGO
