,year,"Mortality rate, infant (per 1,000 live births)",country
0,1960,251.2,AFG
1,1960,..,ALB
2,1960,161.8,DZA
3,1960,..,ASM
4,1960,..,AND
5,1960,..,AGO
6,1960,62,ATG
7,1960,..,ARG
8,1960,..,ARM
9,1960,..,ABW
10,1960,20.4,AUS
11,1960,37.2,AUT
12,1960,..,AZE
13,1960,..,BHS
14,1960,160,BHR
15,1960,178.6,BGD
16,1960,70.3,BRB
17,1960,36.9,BLR
18,1960,29.6,BEL
19,1960,..,BLZ
20,1960,161.4,BEN
21,1960,..,BMU
22,1960,..,BTN
23,1960,187.4,BOL
24,1960,..,BIH
25,1960,117.6,BWA
26,1960,126.4,BRA
27,1960,70.6,VGB
28,1960,59.4,BRN
29,1960,45,BGR
30,1960,171.4,BFA
31,1960,..,BDI
32,1960,112.3,CPV
33,1960,..,KHM
34,1960,175.8,CMR
35,1960,27.8,CAN
36,1960,..,CYM
37,1960,158.2,CAF
38,1960,142,TCD
39,1960,..,Channel Islands
40,1960,124,CHL
41,1960,..,CHN
42,1960,95.4,COL
43,1960,..,COM
44,1960,..,COD
45,1960,95.2,COG
46,1960,70.9,CRI
47,1960,208.3,CIV
48,1960,..,HRV
49,1960,36.5,CUB
50,1960,..,CUW
51,1960,..,CYP
52,1960,21.2,CZE
53,1960,21.3,DNK
54,1960,..,DJI
55,1960,81.9,DMA
56,1960,102.9,DOM
57,1960,128.8,ECU
58,1960,168.7,EGY
59,1960,125.5,SLV
60,1960,..,GNQ
61,1960,..,ERI
62,1960,..,EST
63,1960,135.4,SWZ
64,1960,..,ETH
65,1960,..,FRO
66,1960,61,FJI
67,1960,21.9,FIN
68,1960,23.7,FRA
69,1960,..,PYF
70,1960,111.6,GAB
71,1960,156.4,GMB
72,1960,..,GEO
73,1960,..,DEU
74,1960,121.8,GHA
75,1960,..,GIB
76,1960,38.6,GRC
77,1960,..,GRL
78,1960,60.9,GRD
79,1960,..,GUM
80,1960,155.5,GTM
81,1960,191.2,GIN
82,1960,..,GNB
83,1960,70.5,GUY
84,1960,193.2,HTI
85,1960,141.2,HND
86,1960,..,HKG
87,1960,48,HUN
88,1960,17.3,ISL
89,1960,150.6,IND
90,1960,144.9,IDN
91,1960,..,IRN
92,1960,137.7,IRQ
93,1960,30.4,IRL
94,1960,..,IMN
95,1960,38.4,ISR
96,1960,44.2,ITA
97,1960,63.7,JAM
98,1960,30.4,JPN
99,1960,109.6,JOR
100,1960,..,KAZ
101,1960,112.7,KEN
102,1960,144.6,KIR
103,1960,81.8,PRK
104,1960,73.5,KOR
105,1960,..,XKX
106,1960,117.2,KWT
107,1960,..,KGZ
108,1960,..,LAO
109,1960,..,LVA
110,1960,65,LBN
111,1960,137.7,LSO
112,1960,200.6,LBR
113,1960,193.8,LBY
114,1960,..,LIE
115,1960,..,LTU
116,1960,31.7,LUX
117,1960,..,MAC
118,1960,..,MDG
119,1960,..,MWI
120,1960,68.3,MYS
121,1960,..,MDV
122,1960,..,MLI
123,1960,35.8,MLT
124,1960,88.7,MHL
125,1960,130.1,MRT
126,1960,67.8,MUS
127,1960,105.3,MEX
128,1960,96.5,FSM
129,1960,..,MDA
130,1960,..,MCO
131,1960,..,MNG
132,1960,..,MNE
133,1960,149.2,MAR
134,1960,..,MOZ
135,1960,..,MMR
136,1960,..,NAM
137,1960,..,NRU
138,1960,217.3,NPL
139,1960,16.4,NLD
140,1960,..,NCL
141,1960,22.6,NZL
142,1960,134,NIC
143,1960,..,NER
144,1960,..,NGA
145,1960,..,MKD
146,1960,..,MNP
147,1960,18.4,NOR
148,1960,240,OMN
149,1960,167,PAK
150,1960,..,PLW
151,1960,65.7,PAN
152,1960,145.6,PNG
153,1960,62.4,PRY
154,1960,152,PER
155,1960,60.9,PHL
156,1960,58,POL
157,1960,84.2,PRT
158,1960,..,PRI
159,1960,..,QAT
160,1960,74.6,ROU
161,1960,36.3,RUS
162,1960,124.4,RWA
163,1960,78.4,WSM
164,1960,..,SMR
165,1960,..,STP
166,1960,..,SAU
167,1960,126.1,SEN
168,1960,..,SRB
169,1960,71.7,SYC
170,1960,165.3,SLE
171,1960,35.4,SGP
172,1960,..,SXM
173,1960,30.6,SVK
174,1960,..,SVN
175,1960,117.2,SLB
176,1960,..,SOM
177,1960,..,ZAF
178,1960,196.7,SSD
179,1960,46.8,ESP
180,1960,57.2,LKA
181,1960,..,KNA
182,1960,89.1,LCA
183,1960,..,MAF
184,1960,..,VCT
185,1960,91.6,SDN
186,1960,..,SUR
187,1960,16.3,SWE
188,1960,21.7,CHE
189,1960,105.2,SYR
190,1960,..,TJK
191,1960,121.5,TZA
192,1960,112.8,THA
193,1960,..,TLS
194,1960,133.9,TGO
195,1960,..,TON
196,1960,62.1,TTO
197,1960,..,TUN
198,1960,179.1,TUR
199,1960,..,TKM
200,1960,..,TCA
201,1960,135.3,TUV
202,1960,124.8,UGA
203,1960,..,UKR
204,1960,145.4,ARE
205,1960,22.9,GBR
206,1960,25.9,USA
207,1960,56.6,URY
208,1960,..,UZB
209,1960,111.4,VUT
210,1960,58.8,VEN
211,1960,..,VNM
212,1960,..,VIR
213,1960,..,PSE
214,1960,272.8,YEM
215,1960,99.1,ZMB
216,1960,79.4,ZWE
217,1960,..,Africa Eastern and Southern
218,1960,..,Africa Western and Central
219,1960,..,Arab World
220,1960,..,Caribbean small states
221,1960,..,Central Europe and the Baltics
222,1960,..,Early-demographic dividend
223,1960,..,East Asia & Pacific
224,1960,..,East Asia & Pacific (
225,1960,..,East Asia & Pacific (IDA & IBRD countries)
226,1960,..,Euro area
227,1960,..,Europe & Central Asia
228,1960,..,Europe & Central Asia (
229,1960,..,Europe & Central Asia (IDA & IBRD countries)
230,1960,..,European Union
231,1960,..,Fragile and conflict affected situations
232,1960,..,Heavily indebted poor countries (HIPC)
233,1960,..,High income
234,1960,..,IBRD only
235,1960,..,IDA & IBRD total
236,1960,..,IDA blend
242,1961,248.4,AFG
243,1961,..,ALB
244,1961,161.4,DZA
245,1961,..,ASM
246,1961,..,AND
247,1961,..,AGO
248,1961,58.5,ATG
249,1961,..,ARG
250,1961,..,ARM
251,1961,..,ABW
252,1961,20,AUS
253,1961,35,AUT
254,1961,..,AZE
255,1961,..,BHS
256,1961,147.7,BHR
257,1961,173.3,BGD
258,1961,65.4,BRB
259,1961,33.3,BLR
260,1961,28.3,BEL
261,1961,..,BLZ
262,1961,159.4,BEN
263,1961,..,BMU
264,1961,..,BTN
265,1961,184.5,BOL
266,1961,..,BIH
267,1961,115.1,BWA
268,1961,123.3,BRA
269,1961,66.4,VGB
270,1961,55.2,BRN
271,1961,40.5,BGR
272,1961,170,BFA
273,1961,..,BDI
274,1961,110.6,CPV
275,1961,..,KHM
276,1961,170.7,CMR
277,1961,26.9,CAN
278,1961,..,CYM
279,1961,155.9,CAF
280,1961,141.7,TCD
281,1961,..,Channel Islands
282,1961,121,CHL
283,1961,..,CHN
284,1961,92.8,COL
285,1961,..,COM
286,1961,..,COD
287,1961,92.7,COG
288,1961,69.3,CRI
289,1961,203.2,CIV
290,1961,..,HRV
291,1961,36.8,CUB
292,1961,..,CUW
293,1961,..,CYP
294,1961,20.9,CZE
295,1961,20.9,DNK
296,1961,..,DJI
297,1961,75.6,DMA
298,1961,102.5,DOM
299,1961,125.2,ECU
300,1961,164.8,EGY
301,1961,123.6,SLV
302,1961,..,GNQ
303,1961,..,ERI
304,1961,..,EST
305,1961,134,SWZ
306,1961,..,ETH
307,1961,..,FRO
308,1961,58.2,FJI
309,1961,20.6,FIN
310,1961,22.4,FRA
311,1961,..,PYF
312,1961,109.5,GAB
313,1961,155.3,GMB
314,1961,..,GEO
315,1961,..,DEU
316,1961,120.7,GHA
317,1961,..,GIB
318,1961,38,GRC
319,1961,..,GRL
320,1961,57.2,GRD
321,1961,..,GUM
322,1961,152.1,GTM
323,1961,190.5,GIN
324,1961,..,GNB
325,1961,68.1,GUY
326,1961,190.8,HTI
327,1961,137.4,HND
328,1961,..,HKG
329,1961,45.9,HUN
330,1961,17,ISL
331,1961,148.8,IND
332,1961,141.2,IDN
333,1961,..,IRN
334,1961,130.4,IRQ
335,1961,29.2,IRL
336,1961,..,IMN
337,1961,36.7,ISR
338,1961,42.6,ITA
339,1961,61.1,JAM
340,1961,27.9,JPN
341,1961,104.6,JOR
342,1961,..,KAZ
343,1961,108.1,KEN
344,1961,141.4,KIR
345,1961,79.3,PRK
346,1961,71.1,KOR
347,1961,..,XKX
348,1961,109.3,KWT
349,1961,..,KGZ
350,1961,..,LAO
351,1961,..,LVA
352,1961,62.9,LBN
353,1961,138.1,LSO
354,1961,201.3,LBR
355,1961,182.2,LBY
356,1961,..,LIE
357,1961,..,LTU
358,1961,30.2,LUX
359,1961,..,MAC
360,1961,..,MDG
361,1961,162.7,MWI
362,1961,63.9,MYS
363,1961,..,MDV
364,1961,..,MLI
365,1961,34.5,MLT
366,1961,84.7,MHL
367,1961,127.6,MRT
368,1961,66.1,MUS
369,1961,102.4,MEX
370,1961,92.8,FSM
371,1961,..,MDA
372,1961,..,MCO
373,1961,..,MNG
374,1961,..,MNE
375,1961,147.3,MAR
376,1961,..,MOZ
377,1961,..,MMR
378,1961,..,NAM
379,1961,..,NRU
380,1961,214.9,NPL
381,1961,16,NLD
382,1961,..,NCL
383,1961,21.8,NZL
384,1961,133.6,NIC
385,1961,..,NER
386,1961,..,NGA
387,1961,..,MKD
388,1961,..,MNP
389,1961,18,NOR
390,1961,231.4,OMN
391,1961,162,PAK
392,1961,..,PLW
393,1961,64.2,PAN
394,1961,141.4,PNG
395,1961,62.1,PRY
396,1961,148.2,PER
397,1961,59.4,PHL
398,1961,53.7,POL
399,1961,82.1,PRT
400,1961,..,PRI
401,1961,..,QAT
402,1961,67.7,ROU
403,1961,33.9,RUS
404,1961,120.7,RWA
405,1961,75.5,WSM
406,1961,..,SMR
407,1961,..,STP
408,1961,..,SAU
409,1961,125,SEN
410,1961,..,SRB
411,1961,70.4,SYC
412,1961,164.2,SLE
413,1961,32.9,SGP
414,1961,..,SXM
415,1961,29,SVK
416,1961,..,SVN
417,1961,112.8,SLB
418,1961,..,SOM
419,1961,..,ZAF
420,1961,194.8,SSD
421,1961,44.9,ESP
422,1961,55.3,LKA
423,1961,..,KNA
424,1961,86.4,LCA
425,1961,..,MAF
426,1961,..,VCT
427,1961,91.3,SDN
428,1961,..,SUR
429,1961,16,SWE
430,1961,21.3,CHE
431,1961,101.9,SYR
432,1961,..,TJK
433,1961,121.3,TZA
434,1961,109.2,THA
435,1961,..,TLS
436,1961,133.1,TGO
437,1961,..,TON
438,1961,60.1,TTO
439,1961,..,TUN
440,1961,174.9,TUR
441,1961,..,TKM
442,1961,..,TCA
443,1961,130.4,TUV
444,1961,122.6,UGA
445,1961,..,UKR
446,1961,138.5,ARE
447,1961,22.6,GBR
448,1961,25.5,USA
449,1961,55.6,URY
450,1961,..,UZB
451,1961,108.7,VUT
452,1961,57.3,VEN
453,1961,..,VNM
454,1961,..,VIR
455,1961,..,PSE
456,1961,270.4,YEM
457,1961,97.9,ZMB
458,1961,78,ZWE
459,1961,..,Africa Eastern and Southern
460,1961,..,Africa Western and Central
461,1961,..,Arab World
462,1961,..,Caribbean small states
463,1961,..,Central Europe and the Baltics
464,1961,..,Early-demographic dividend
465,1961,..,East Asia & Pacific
466,1961,..,East Asia & Pacific (
467,1961,..,East Asia & Pacific (IDA & IBRD countries)
468,1961,..,Euro area
469,1961,..,Europe & Central Asia
470,1961,..,Europe & Central Asia (
471,1961,..,Europe & Central Asia (IDA & IBRD countries)
472,1961,..,European Union
473,1961,..,Fragile and conflict affected situations
474,1961,..,Heavily indebted poor countries (HIPC)
475,1961,..,High income
476,1961,..,IBRD only
477,1961,..,IDA & IBRD total
478,1961,..,IDA blend
484,1962,245.4,AFG
485,1962,..,ALB
486,1962,161.6,DZA
487,1962,..,ASM
488,1962,..,AND
489,1962,..,AGO
490,1962,54.6,ATG
491,1962,..,ARG
492,1962,..,ARM
493,1962,..,ABW
494,1962,19.5,AUS
495,1962,32.9,AUT
496,1962,..,AZE
497,1962,..,BHS
498,1962,135.8,BHR
499,1962,168.4,BGD
500,1962,61.1,BRB
501,1962,30.2,BLR
502,1962,27.1,BEL
503,1962,..,BLZ
504,1962,157.1,BEN
505,1962,..,BMU
506,1962,..,BTN
507,1962,181.5,BOL
508,1962,..,BIH
509,1962,112.8,BWA
510,1962,120.4,BRA
511,1962,62.5,VGB
512,1962,51.5,BRN
513,1962,36.8,BGR
514,1962,168.6,BFA
515,1962,..,BDI
516,1962,108.7,CPV
517,1962,..,KHM
518,1962,166.3,CMR
519,1962,26,CAN
520,1962,..,CYM
521,1962,153.5,CAF
522,1962,141.4,TCD
523,1962,..,Channel Islands
524,1962,117,CHL
525,1962,..,CHN
526,1962,90.3,COL
527,1962,..,COM
528,1962,..,COD
529,1962,90.3,COG
530,1962,69.1,CRI
531,1962,198.1,CIV
532,1962,..,HRV
533,1962,36.9,CUB
534,1962,..,CUW
535,1962,..,CYP
536,1962,20.8,CZE
537,1962,20.3,DNK
538,1962,..,DJI
539,1962,69.7,DMA
540,1962,101.8,DOM
