,country,year,gdp_pc_lag1
20,AFG,1970,1278.0
21,AFG,1971,1272.0
22,AFG,1972,1237.0
23,AFG,1973,1007.0
24,AFG,1974,1011.0
25,AFG,1975,1039.0
26,AFG,1976,1074.0
27,AFG,1977,1105.0
28,AFG,1978,1022.0
29,AFG,1979,1070.0
30,AFG,1980,1023.0
31,AFG,1981,1019.0
32,AFG,1982,1144.0
33,AFG,1983,1270.0
34,AFG,1984,1347.0
35,AFG,1985,1337.0
36,AFG,1986,1304.0
37,AFG,1987,1344.0
38,AFG,1988,1211.0
39,AFG,1989,1101.0
40,AFG,1990,999.0
41,AFG,1991,963.0
42,AFG,1992,881.1704385887347
43,AFG,1993,843.8753488998832
44,AFG,1994,578.4027440310482
45,AFG,1995,428.4245582895427
46,AFG,1996,632.9403962619846
47,AFG,1997,600.175264462535
48,AFG,1998,570.5981189558812
49,AFG,1999,545.0387526687088
50,AFG,2000,518.6578667328783
51,AFG,2001,502.3727455986333
52,AFG,2002,489.6819969074936
53,AFG,2003,796.8165632460033
54,AFG,2004,842.8051654796586
55,AFG,2005,869.0392727868127
56,AFG,2006,964.4081099473
57,AFG,2007,1057.0965509287612
58,AFG,2008,1259.9967427573688
59,AFG,2009,1319.6073672855257
60,AFG,2010,1557.3206365722815
61,AFG,2011,1627.671634100663
62,AFG,2012,1792.0
63,AFG,2013,1945.0
64,AFG,2014,2025.0
65,AFG,2015,2022.0
66,AFG,2016,1928.0
67,AFG,2017,1931.2438124834036
68,AFG,2018,1909.7330149329885
69,AFG,2019,1888.8139278100407
70,AFG,2020,2031.7373493078433
71,AFG,2021,1928.4546828441275
72,AFG,2022,1485.547006308156
93,ALB,1970,3080.0
94,ALB,1971,3194.0
95,ALB,1972,3322.0
96,ALB,1973,3451.0
97,ALB,1974,3623.0
98,ALB,1975,3637.0
99,ALB,1976,3649.0
100,ALB,1977,3665.0
101,ALB,1978,3681.0
102,ALB,1979,3696.0
103,ALB,1980,3716.0
104,ALB,1981,3741.0
105,ALB,1982,3762.0
106,ALB,1983,3783.0
107,ALB,1984,3805.0
108,ALB,1985,3826.0
109,ALB,1986,3846.0
110,ALB,1987,3870.0
111,ALB,1988,3894.0
112,ALB,1989,3920.0
113,ALB,1990,3948.0
114,ALB,1991,3983.0
115,ALB,1992,2942.100598313453
116,ALB,1993,2841.7651646645454
117,ALB,1994,3137.0239335031047
118,ALB,1995,3399.710182724317
119,ALB,1996,3666.6505691400903
120,ALB,1997,3965.6853153191687
121,ALB,1998,3526.985640715551
122,ALB,1999,3873.373152052455
123,ALB,2000,4432.042637455317
124,ALB,2001,4808.479614813517
125,ALB,2002,5285.8090964349885
126,ALB,2003,5608.962344601074
127,ALB,2004,6004.645238992147
128,ALB,2005,6419.870395724982
129,ALB,2006,6858.467047357238
130,ALB,2007,7347.330123046253
131,ALB,2008,7866.157747150179
132,ALB,2009,8522.129841288606
133,ALB,2010,8859.47159720472
134,ALB,2011,9222.972752077756
135,ALB,2012,9484.0
136,ALB,2013,9634.33370462354
137,ALB,2014,9748.72726226394
138,ALB,2015,9942.276115372832
139,ALB,2016,10192.529179769424
