,country,year,gdppc,pop
20,AFG,1970,1272.0,12431.0
21,AFG,1971,1237.0,12749.0
22,AFG,1972,1007.0,13079.0
23,AFG,1973,1011.0,13421.0
24,AFG,1974,1039.0,13772.0
25,AFG,1975,1074.0,14132.0
26,AFG,1976,1105.0,14501.0
27,AFG,1977,1022.0,14880.0
28,AFG,1978,1070.0,15269.0
29,AFG,1979,1023.0,15556.0
30,AFG,1980,1019.0,15044.0
31,AFG,1981,1144.0,13676.0
32,AFG,1982,1270.0,12583.0
33,AFG,1983,1347.0,12439.0
34,AFG,1984,1337.0,12769.0
35,AFG,1985,1304.0,13120.0
36,AFG,1986,1344.0,13126.0
37,AFG,1987,1211.0,13056.0
38,AFG,1988,1101.0,13169.0
39,AFG,1989,999.0,13503.0
40,AFG,1990,963.0,13568.0
41,AFG,1991,881.1704385887347,13672.0
42,AFG,1992,843.8753488998832,15023.0
43,AFG,1993,578.4027440310482,17003.0
44,AFG,1994,428.4245582895427,18486.0
45,AFG,1995,632.9403962619846,19445.0
46,AFG,1996,600.175264462535,20111.0
47,AFG,1997,570.5981189558812,20769.0
48,AFG,1998,545.0387526687088,21452.0
49,AFG,1999,518.6578667328783,22206.0
50,AFG,2000,502.3727455986333,22461.0
51,AFG,2001,489.6819969074936,22507.0
52,AFG,2002,796.8165632460033,23600.0
53,AFG,2003,842.8051654796586,25005.0
54,AFG,2004,869.0392727868127,25698.0
55,AFG,2005,964.4081099473,26335.0
56,AFG,2006,1057.0965509287612,27154.0
57,AFG,2007,1259.9967427573688,27387.0
58,AFG,2008,1319.6073672855257,27706.0
59,AFG,2009,1557.3206365722815,28484.0
60,AFG,2010,1627.671634100663,29121.0
61,AFG,2011,1792.0,29758.0
62,AFG,2012,1945.0,30420.0
63,AFG,2013,2025.0,31108.0
64,AFG,2014,2022.0,31823.0
65,AFG,2015,1928.0,32564.0
66,AFG,2016,1931.2438124834036,33332.0
67,AFG,2017,1909.7330149329885,34124.811
68,AFG,2018,1888.8139278100407,34940.837
69,AFG,2019,2031.7373493078433,35972.02491585698
70,AFG,2020,1928.4546828441275,37033.645660721726
71,AFG,2021,1485.547006308156,38126.59738038046
72,AFG,2022,1357.9878225212838,39251.804727056006
93,AGO,1970,2818.0,5605.626
94,AGO,1971,2754.0,5752.957
95,AGO,1972,2729.0,5895.212
96,AGO,1973,2852.0,6026.363
97,AGO,1974,2727.0,5987.492
98,AGO,1975,1710.0,5885.455
99,AGO,1976,1521.0,5943.466
100,AGO,1977,1500.0,6163.714
101,AGO,1978,1530.0,6287.18
102,AGO,1979,1527.0,6452.546
103,AGO,1980,1532.0,6743.08
104,AGO,1981,1471.0,6879.574
105,AGO,1982,1374.0,7018.526
106,AGO,1983,1288.0,7240.535
107,AGO,1984,1259.0,7442.448
108,AGO,1985,1242.0,7584.709
109,AGO,1986,1106.0,7748.632
110,AGO,1987,1211.0,7878.396
111,AGO,1988,1360.0,8023.39
112,AGO,1989,1360.0,8153.844
113,AGO,1990,1384.0,8296.606
114,AGO,1991,1437.1472449740334,8587.26
115,AGO,1992,1389.3294866999718,8898.84
116,AGO,1993,1080.480643920332,9241.7
117,AGO,1994,1120.8481500960654,9600.6
118,AGO,1995,1319.158949903447,9963.75
119,AGO,1996,1533.9839313399602,10312.91
120,AGO,1997,1687.317788312541,10651.4
121,AGO,1998,1811.1681411006944,10990.17
122,AGO,1999,1899.415206073724,11333.74
123,AGO,2000,2013.6362295189435,11676.48
124,AGO,2001,2162.4850193097,12030.15
125,AGO,2002,2522.6718607988428,12443.08
126,AGO,2003,2711.9283105741374,12935.95
127,AGO,2004,3064.2986504347236,13480.16
128,AGO,2005,3708.7705819422217,14012.1
129,AGO,2006,4592.337305661669,14534.99
130,AGO,2007,5773.548289088469,15083.68
131,AGO,2008,6743.748195802765,15657.93
132,AGO,2009,7087.604112584768,16260.48
133,AGO,2010,7520.665769678626,16884.7
134,AGO,2011,8016.0,17524.61
135,AGO,2012,8376.94607723474,18201.96
136,AGO,2013,8463.941947082867,18907.51
137,AGO,2014,8548.292822031946,19623.85
138,AGO,2015,8319.567355048026,20353.7
139,AGO,2016,7819.147303059392,21097.59
140,AGO,2017,7535.612410800351,21858.57
141,AGO,2018,7180.355234634125,22638.16
142,AGO,2019,6886.954136020846,23436.91
143,AGO,2020,6279.929084992991,24253.25
144,AGO,2021,6137.003844650216,25089.1
145,AGO,2022,6118.904896629408,25878.2
166,ALB,1970,3194.0,2156.612
167,ALB,1971,3322.0,2208.719
168,ALB,1972,3451.0,2263.554
169,ALB,1973,3623.0,2295.691
170,ALB,1974,3637.0,2347.924
171,ALB,1975,3649.0,2401.108
172,ALB,1976,3665.0,2454.824
173,ALB,1977,3681.0,2509.048
174,ALB,1978,3696.0,2563.376
175,ALB,1979,3716.0,2617.679
176,ALB,1980,3741.0,2671.412
177,ALB,1981,3762.0,2724.272
178,ALB,1982,3783.0,2780.097
179,ALB,1983,3805.0,2837.315
180,ALB,1984,3826.0,2895.998
181,ALB,1985,3846.0,2956.697
182,ALB,1986,3870.0,3015.438
183,ALB,1987,3894.0,3075.321
184,ALB,1988,3920.0,3136.843
185,ALB,1989,3948.0,3195.8
186,ALB,1990,3983.0,3250.778
187,ALB,1991,2942.100598313453,3186.79
188,ALB,1992,2841.7651646645454,3077.55
189,ALB,1993,3137.0239335031047,3071.81
190,ALB,1994,3399.710182724317,3116.77
191,ALB,1995,3666.6505691400903,3163.85
192,ALB,1996,3965.6853153191687,3144.19
193,ALB,1997,3526.985640715551,3124.52
194,ALB,1998,3873.373152052455,3104.85
195,ALB,1999,4432.042637455317,3085.19
196,ALB,2000,4808.479614813517,3064.76
197,ALB,2001,5285.8090964349885,3046.63
198,ALB,2002,5608.962344601074,3037.51
199,ALB,2003,6004.645238992147,3026.17
200,ALB,2004,6419.870395724982,3013.55
201,ALB,2005,6858.467047357238,2998.17
202,ALB,2006,7347.330123046253,2979.31
203,ALB,2007,7866.157747150179,2956.88
204,ALB,2008,8522.129841288606,2934.27
205,ALB,2009,8859.47159720472,2914.57
206,ALB,2010,9222.972752077756,2900.13
207,ALB,2011,9484.0,2892.35
208,ALB,2012,9634.33370462354,2887.57
209,ALB,2013,9748.72726226394,2882.28
210,ALB,2014,9942.276115372832,2876.32
211,ALB,2015,10192.529179769424,2867.95
212,ALB,2016,10547.255209677502,2863.37
213,ALB,2017,10958.306302701956,2860.75
214,ALB,2018,11426.92010466293,2853.7
215,ALB,2019,11715.30631847037,2841.56
216,ALB,2020,11372.54142130636,2825.29
217,ALB,2021,12455.91655367914,2799.23
218,ALB,2022,12978.100729433238,2787.08
239,ARE,1970,39135.0,249.369
240,ARE,1971,39540.0,288.136
241,ARE,1972,39540.0,336.325
242,ARE,1973,39669.0,391.337
243,ARE,1974,45347.0,453.222
244,ARE,1975,40591.0,522.571
245,ARE,1976,40803.0,598.023
246,ARE,1977,41915.0,683.672
247,ARE,1978,35936.0,778.736
248,ARE,1979,39534.0,884.04
249,ARE,1980,44168.0,1000.285
250,ARE,1981,42456.0,1069.722
251,ARE,1982,36635.0,1137.549
252,ARE,1983,32737.0,1209.1
253,ARE,1984,32135.0,1284.385
254,ARE,1985,29562.0,1363.482
255,ARE,1986,21949.0,1446.574
256,ARE,1987,21487.0,1530.444
257,ARE,1988,20215.0,1622.747
258,ARE,1989,21072.0,1722.063
259,ARE,1990,22254.0,1826.25
260,ARE,1991,,1928.84
261,ARE,1992,,2039.66
262,ARE,1993,25558.756425031963,2157.76
263,ARE,1994,28334.582020910093,2281.82
264,ARE,1995,31239.91710043245,2408.58
265,ARE,1996,34042.74127285471,2577.67
266,ARE,1997,38168.4666465487,2748.95
267,ARE,1998,39667.794786420614,2923.33
268,ARE,1999,42372.43926258263,3101.33
269,ARE,2000,48888.03214746027,3283.64
270,ARE,2001,51263.37656760322,3458.06
271,ARE,2002,54077.466856988634,3613.24
272,ARE,2003,59823.267258640735,3753.51
273,ARE,2004,64925.67142036073,3882.1
274,ARE,2005,65599.05791372634,4000.26
275,ARE,2006,67830.92617117109,4531.54
276,ARE,2007,65412.80102471114,5623.0
277,ARE,2008,63862.08484077144,7276.5
278,ARE,2009,58860.53593328092,8164.24
279,ARE,2010,60112.401929710366,8152.21
280,ARE,2011,65307.0,8438.15
281,ARE,2012,66006.99739382941,8747.48
282,ARE,2013,66825.30350523994,9077.22
283,ARE,2014,67791.38692844106,9320.63
284,ARE,2015,71319.60611268003,9460.83
285,ARE,2016,74292.95204289131,9587.25
286,ARE,2017,73973.29234281687,9699.45
287,ARE,2018,74206.48493843887,9796.02
288,ARE,2019,74396.14386267077,9879.31
289,ARE,2020,70188.27272782834,9952.51
290,ARE,2021,72460.0406882181,10018.0
291,ARE,2022,77203.67024077299,10099.28
312,ARG,1970,11639.0,23962.313
313,ARG,1971,12003.0,24363.816
314,ARG,1972,12170.0,24779.799
315,ARG,1973,12691.0,25209.829
316,ARG,1974,13284.0,25646.371
317,ARG,1975,12946.0,26081.88
318,ARG,1976,12696.0,26531.28
319,ARG,1977,13236.0,26983.828
320,ARG,1978,12444.0,27440.272
321,ARG,1979,13114.0,27901.971
322,ARG,1980,13080.0,28369.799
323,ARG,1981,12125.0,28848.0
324,ARG,1982,11550.0,29330.0
325,ARG,1983,11775.0,29784.0
326,ARG,1984,11837.0,30231.0
327,ARG,1985,10895.0,30672.0
328,ARG,1986,11515.0,31145.0
329,ARG,1987,11633.0,31625.0
330,ARG,1988,11244.0,32099.0
331,ARG,1989,10393.0,32572.0
332,ARG,1990,10254.0,33036.0
333,ARG,1991,11223.984636540246,33504.85
334,ARG,1992,12267.083586781191,33967.31
335,ARG,1993,12926.794665217649,34407.62
336,ARG,1994,13571.379431200983,34847.36
337,ARG,1995,13086.036451554311,35274.32
338,ARG,1996,13715.22681870774,35683.44
339,ARG,1997,14722.645940036531,36102.64
340,ARG,1998,15185.958688486142,36518.41
341,ARG,1999,14577.832273029322,36923.91
342,ARG,2000,14368.942737362304,37336.15
343,ARG,2001,13651.98098793502,37713.74
344,ARG,2002,12094.7728377935,38079.14
345,ARG,2003,13088.565010832575,38438.45
346,ARG,2004,14183.225137777,38799.8
347,ARG,2005,15344.157134056735,39171.29
348,ARG,2006,16490.47358157608,39555.98
349,ARG,2007,17891.943410848908,39946.76
350,ARG,2008,18520.30408357946,40342.61
351,ARG,2009,17328.975752420036,40736.44
352,ARG,2010,18979.99170299205,41400.71
353,ARG,2011,20003.0,41880.85
354,ARG,2012,19573.963185451754,42359.71
355,ARG,2013,19821.64247991229,42836.43
356,ARG,2014,19112.23290002307,43310.0
357,ARG,2015,19423.666977703655,43779.41
358,ARG,2016,18819.642886952533,44244.69
359,ARG,2017,19150.5204834216,44705.95
360,ARG,2018,18460.86900858157,45162.39
361,ARG,2019,17912.635765177303,45613.27
362,ARG,2020,15975.838772553549,46057.94
363,ARG,2021,17470.682415187282,46496.42
364,ARG,2022,18292.31782465981,46736.25
385,ARM,1970,,2519.745
386,ARM,1971,,2581.671
387,ARM,1972,,2647.035
388,ARM,1973,9806.0,2712.997
389,ARM,1974,,2776.539
390,ARM,1975,,2834.136
391,ARM,1976,,2892.704
392,ARM,1977,,2954.907
393,ARM,1978,,3014.042
394,ARM,1979,,3066.726
395,ARM,1980,9291.0,3115.289
396,ARM,1981,9548.0,3166.098
397,ARM,1982,9809.0,3218.691
398,ARM,1983,9865.0,3270.153
399,ARM,1984,10181.0,3322.394
400,ARM,1985,10485.0,3373.532
401,ARM,1986,10394.0,3421.978
402,ARM,1987,9789.0,3468.857
403,ARM,1988,9301.0,3515.614
404,ARM,1989,10525.0,3325.992
405,ARM,1990,9669.0,3376.783
406,ARM,1991,8141.671123568718,3434.16
407,ARM,1992,4699.61095270265,3357.25
408,ARM,1993,4130.1472172755,3184.66
409,ARM,1994,4392.979876584909,3059.8
410,ARM,1995,4703.130733517876,2994.93
411,ARM,1996,4811.489547018747,2985.18
412,ARM,1997,4836.044220565851,2978.1
413,ARM,1998,4994.053039773923,2971.93
414,ARM,1999,5000.452449359477,2969.87
415,ARM,2000,5139.825500062924,2966.02
416,ARM,2001,5457.510062027403,2965.48
417,ARM,2002,6082.14618880966,2962.46
418,ARM,2003,6743.240978250471,2955.37
419,ARM,2004,7229.648226319801,2953.25
420,ARM,2005,8006.960425531473,2950.75
421,ARM,2006,8798.750189147131,2947.9
422,ARM,2007,9713.21328027296,2945.51
423,ARM,2008,10080.81283336882,2943.46
424,ARM,2009,8399.086872960954,2941.36
425,ARM,2010,8330.81117545937,2939.17
426,ARM,2011,8465.0,2936.86
427,ARM,2012,9076.433081469568,2934.42
428,ARM,2013,9395.086636007349,2931.62
429,ARM,2014,9745.135587230588,2928.26
