,country,year,General government final consumption expenditure (% of GDP),gdp_pc_lag1,rtfpna,"Mortality rate, infant (per 1,000 live births)",fe_etfra,gdppc,pop,v2x_regime,v2x_polyarchy,v2x_liberal,hc,Tax revenue (% of GDP),Population growth rate - Sex: all - Age: all - Variant: estimates,v2x_corr,v2x_execorr,v2x_pubcorr
0,ABW,1950,,,,,,,,,,,,,2.546,,,
1,ABW,1951,,,,,,,,,,,,,2.627,,,
2,ABW,1952,,,,,,,,,,,,,2.643,,,
3,ABW,1953,,,,,,,,,,,,,2.688,,,
4,ABW,1954,,,,,,,,,,,,,2.64,,,
5,ABW,1955,,,,,,,,,,,,,2.654,,,
6,ABW,1956,,,,,,,,,,,,,2.591,,,
7,ABW,1957,,,,,,,,,,,,,2.543,,,
8,ABW,1958,,,,,,,,,,,,,2.468,,,
9,ABW,1959,,,,,,,,,,,,,2.458,,,
10,ABW,1960,..,,,..,,,,,,,,..,1.009,,,
11,ABW,1961,..,,,..,,,,,,,,..,1.366,,,
12,ABW,1962,..,,,..,,,,,,,,..,1.286,,,
13,ABW,1963,..,,,..,,,,,,,,..,1.121,,,
14,ABW,1964,..,,,..,,,,,,,,..,1.034,,,
15,ABW,1965,..,,,..,,,,,,,,..,0.938,,,
16,ABW,1966,..,,,..,,,,,,,,..,0.789,,,
17,ABW,1967,..,,,..,,,,,,,,..,0.219,,,
18,ABW,1968,..,,,..,,,,,,,,..,0.049,,,
19,ABW,1969,..,,,..,,,,,,,,..,-0.108,,,
20,ABW,1970,..,,,..,,,,,,,,..,-0.236,,,
21,ABW,1971,..,,,..,,,,,,,,..,-0.342,,,
22,ABW,1972,..,,,..,,,,,,,,..,0.732,,,
23,ABW,1973,..,,,..,,,,,,,,..,1.092,,,
24,ABW,1974,..,,,..,,,,,,,,..,1.204,,,
25,ABW,1975,..,,,..,,,,,,,,..,1.08,,,
26,ABW,1976,..,,,..,,,,,,,,..,0.424,,,
27,ABW,1977,..,,,..,,,,,,,,..,0.358,,,
28,ABW,1978,..,,,..,,,,,,,,..,0.318,,,
29,ABW,1979,..,,,..,,,,,,,,..,0.255,,,
30,ABW,1980,..,,,..,,,,,,,,..,0.206,,,
31,ABW,1981,..,,,..,,,,,,,,..,0.524,,,
32,ABW,1982,..,,,..,,,,,,,,..,0.712,,,
33,ABW,1983,..,,,..,,,,,,,,..,0.702,,,
34,ABW,1984,..,,,..,,,,,,,,..,0.477,,,
35,ABW,1985,..,,,..,,,,,,,,..,0.127,,,
36,ABW,1986,..,,,..,,,,,,,,..,-0.253,,,
37,ABW,1987,..,,,..,,,,,,,,..,-0.42,,,
38,ABW,1988,..,,,..,,,,,,,,..,-0.226,,,
39,ABW,1989,..,,,..,,,,,,,,..,0.814,,,
40,ABW,1990,..,,,..,,,,,,,,..,2.437,,,
41,ABW,1991,..,,,..,,,,,,,,..,3.983,,,
42,ABW,1992,..,,,..,,,,,,,,..,2.92,,,
43,ABW,1993,..,,,..,,,,,,,,..,3.356,,,
44,ABW,1994,..,,,..,,,,,,,,..,3.251,,,
45,ABW,1995,19.9661590524535,,,..,,,,,,,,..,3.335,,,
46,ABW,1996,20.1619433198381,,,..,,,,,,,,..,3.308,,,
47,ABW,1997,23.5959153902261,,,..,,,,,,,,..,3.271,,,
48,ABW,1998,21.9724924521972,,,..,,,,,,,,..,3.209,,,
49,ABW,1999,21.8547341115435,,,..,,,,,,,,..,3.124,,,
50,ABW,2000,21.4195402984363,,,..,,,,,,,,..,2.117,,,
51,ABW,2001,24.8419722988295,,,..,,,,,,,,..,1.338,,,
52,ABW,2002,24.8902241079819,,,..,,,,,,,,..,1.028,,,
53,ABW,2003,24.4446509390647,,,..,,,,,,,,..,1.001,,,
