,year,Population growth rate - Sex: all - Age: all - Variant: estimates,country
0,1950,1.275,AFG
1,1951,1.36,AFG
2,1952,1.374,AFG
3,1953,1.335,AFG
4,1954,1.394,AFG
5,1955,1.485,AFG
6,1956,1.55,AFG
7,1957,1.596,AFG
8,1958,1.525,AFG
9,1959,1.789,AFG
10,1960,1.913,AFG
11,1961,2.01,AFG
12,1962,2.078,AFG
13,1963,2.132,AFG
14,1964,2.19,AFG
15,1965,2.276,AFG
16,1966,2.263,AFG
17,1967,2.349,AFG
18,1968,2.372,AFG
19,1969,2.413,AFG
20,1970,2.477,AFG
21,1971,2.382,AFG
22,1972,2.502,AFG
23,1973,2.567,AFG
24,1974,2.488,AFG
25,1975,2.344,AFG
26,1976,2.086,AFG
27,1977,2.17,AFG
28,1978,1.851,AFG
29,1979,-1.199,AFG
30,1980,-6.144,AFG
31,1981,-13.883,AFG
32,1982,-2.164,AFG
33,1983,0.833,AFG
34,1984,4.053,AFG
35,1985,0.173,AFG
36,1986,-0.292,AFG
37,1987,-0.274,AFG
38,1988,2.622,AFG
39,1989,3.364,AFG
40,1990,-0.467,AFG
41,1991,3.618,AFG
42,1992,12.347,AFG
43,1993,11.328,AFG
44,1994,5.689,AFG
45,1995,4.136,AFG
46,1996,3.88,AFG
47,1997,3.732,AFG
48,1998,3.796,AFG
49,1999,3.663,AFG
50,2000,-1.208,AFG
51,2001,2.718,AFG
52,2002,7.658,AFG
53,2003,4.723,AFG
54,2004,2.469,AFG
55,2005,4.533,AFG
56,2006,3.67,AFG
57,2007,0.149,AFG
58,2008,4.181,AFG
59,2009,3.131,AFG
60,2010,2.744,AFG
61,2011,4.605,AFG
62,2012,3.513,AFG
63,2013,3.327,AFG
64,2014,3.927,AFG
65,2015,2.337,AFG
66,2016,2.729,AFG
67,2017,2.885,AFG
68,2018,2.935,AFG
69,2019,3.032,AFG
70,2020,3.272,AFG
71,2021,1.462,AFG
72,2022,1.41,AFG
74,1950,2.052,Africa (UN)
75,1951,2.102,Africa (UN)
76,1952,2.137,Africa (UN)
77,1953,2.149,Africa (UN)
78,1954,2.188,Africa (UN)
79,1955,2.223,Africa (UN)
80,1956,2.249,Africa (UN)
81,1957,2.219,Africa (UN)
82,1958,2.192,Africa (UN)
83,1959,2.351,Africa (UN)
84,1960,2.389,Africa (UN)
85,1961,2.407,Africa (UN)
86,1962,2.447,Africa (UN)
87,1963,2.467,Africa (UN)
88,1964,2.507,Africa (UN)
89,1965,2.51,Africa (UN)
90,1966,2.557,Africa (UN)
91,1967,2.599,Africa (UN)
92,1968,2.63,Africa (UN)
93,1969,2.624,Africa (UN)
94,1970,2.653,Africa (UN)
95,1971,2.625,Africa (UN)
96,1972,2.627,Africa (UN)
97,1973,2.754,Africa (UN)
98,1974,2.752,Africa (UN)
99,1975,2.851,Africa (UN)
100,1976,2.834,Africa (UN)
101,1977,2.74,Africa (UN)
102,1978,2.992,Africa (UN)
103,1979,2.918,Africa (UN)
104,1980,2.902,Africa (UN)
105,1981,3.039,Africa (UN)
106,1982,3.032,Africa (UN)
107,1983,2.839,Africa (UN)
108,1984,2.91,Africa (UN)
109,1985,2.901,Africa (UN)
110,1986,2.843,Africa (UN)
111,1987,2.851,Africa (UN)
112,1988,2.737,Africa (UN)
113,1989,2.757,Africa (UN)
114,1990,2.729,Africa (UN)
115,1991,2.585,Africa (UN)
116,1992,2.626,Africa (UN)
117,1993,2.629,Africa (UN)
118,1994,2.443,Africa (UN)
119,1995,2.584,Africa (UN)
120,1996,2.478,Africa (UN)
121,1997,2.492,Africa (UN)
122,1998,2.531,Africa (UN)
123,1999,2.494,Africa (UN)
124,2000,2.505,Africa (UN)
125,2001,2.514,Africa (UN)
126,2002,2.523,Africa (UN)
127,2003,2.525,Africa (UN)
128,2004,2.555,Africa (UN)
129,2005,2.553,Africa (UN)
130,2006,2.555,Africa (UN)
131,2007,2.574,Africa (UN)
132,2008,2.601,Africa (UN)
133,2009,2.579,Africa (UN)
134,2010,2.605,Africa (UN)
135,2011,2.539,Africa (UN)
136,2012,2.61,Africa (UN)
137,2013,2.625,Africa (UN)
138,2014,2.562,Africa (UN)
139,2015,2.561,Africa (UN)
140,2016,2.479,Africa (UN)
141,2017,2.523,Africa (UN)
142,2018,2.482,Africa (UN)
143,2019,2.414,Africa (UN)
144,2020,2.396,Africa (UN)
145,2021,2.318,Africa (UN)
146,2022,2.315,Africa (UN)
148,1950,2.144,ALB
149,1951,2.372,ALB
150,1952,2.577,ALB
151,1953,2.733,ALB
152,1954,2.774,ALB
153,1955,2.623,ALB
154,1956,2.658,ALB
155,1957,2.907,ALB
156,1958,3.141,ALB
157,1959,3.359,ALB
158,1960,3.346,ALB
159,1961,2.568,ALB
160,1962,2.653,ALB
161,1963,2.727,ALB
162,1964,2.795,ALB
163,1965,2.865,ALB
164,1966,2.933,ALB
165,1967,2.975,ALB
166,1968,2.943,ALB
167,1969,2.595,ALB
168,1970,2.453,ALB
169,1971,2.418,ALB
170,1972,2.381,ALB
171,1973,2.354,ALB
172,1974,2.31,ALB
173,1975,2.261,ALB
174,1976,2.228,ALB
175,1977,2.186,ALB
176,1978,2.284,ALB
177,1979,1.998,ALB
178,1980,1.992,ALB
179,1981,1.989,ALB
180,1982,2.019,ALB
181,1983,2.03,ALB
182,1984,2.047,ALB
183,1985,2.045,ALB
184,1986,1.974,ALB
185,1987,1.951,ALB
186,1988,2.077,ALB
187,1989,0.864,ALB
188,1990,0.214,ALB
189,1991,0.069,ALB
190,1992,-0.075,ALB
191,1993,-0.21,ALB
192,1994,-0.304,ALB
193,1995,-0.36,ALB
194,1996,-0.433,ALB
195,1997,-0.557,ALB
196,1998,-0.656,ALB
197,1999,-0.691,ALB
198,2000,-0.723,ALB
199,2001,-0.43,ALB
200,2002,-0.452,ALB
201,2003,-0.572,ALB
