,year,"Exports of goods, Free on board (FOB), US dollar","Imports of goods, Cost insurance freight (CIF), US dollar",export_share,country
0,1948,35391.1,38855.95,0.47666674972271633,Advanced Economies
1,1949,36919.0,39108.23,0.48560232958638627,Advanced Economies
2,1950,36361.7,40278.73,0.47444540694774284,Advanced Economies
3,1951,52632.9,54785.14,0.48998194344264706,Advanced Economies
4,1952,50413.2,53551.11,0.4849087153081668,Advanced Economies
5,1953,51183.8,52842.03,0.4920297199262914,Advanced Economies
6,1954,52558.8,54565.86,0.49063212896078273,Advanced Economies
7,1955,58154.9,62118.6,0.4835221391245786,Advanced Economies
8,1956,66332.1,69731.43,0.48750829851320193,Advanced Economies
9,1957,70908.5,73595.06,0.4907041736549605,Advanced Economies
10,1958,67919.39,70119.65,0.49203029809537946,Advanced Economies
11,1959,72594.99,75972.44,0.4886332758128751,Advanced Economies
12,1960,84994.62,87969.53,0.4914002121248825,Advanced Economies
13,1961,89671.01,92193.33,0.4930653804918545,Advanced Economies
14,1962,94271.84,100088.72,0.48503585295288304,Advanced Economies
15,1963,103143.59,110075.22,0.483745266189226,Advanced Economies
16,1964,116520.8,123677.57,0.4851023760069646,Advanced Economies
17,1965,127346.2,135933.48,0.48369171521326676,Advanced Economies
18,1966,141814.2,151963.64,0.48272599458148374,Advanced Economies
19,1967,149693.55,159632.24,0.48393491535251554,Advanced Economies
20,1968,170060.9,181905.95,0.4831730601901855,Advanced Economies
21,1969,197311.199,210593.443,0.4837189349759839,Advanced Economies
22,1970,228092.829,242499.812,0.48469272387113255,Advanced Economies
23,1971,256373.326,270609.81,0.4864924671896902,Advanced Economies
24,1972,306758.615,322254.594,0.4876823103407992,Advanced Economies
25,1973,421291.354,446129.82,0.48568258030556216,Advanced Economies
26,1974,560928.252,636052.313,0.46861934805098526,Advanced Economies
27,1975,596229.597,636644.441,0.48360949993498037,Advanced Economies
28,1976,669299.029,733024.285,0.47727868624738556,Advanced Economies
29,1977,761516.376,832631.819,0.47769484567901166,Advanced Economies
30,1978,914888.494,968374.593,0.4857996210489098,Advanced Economies
31,1979,1128732.93,1240775.284,0.47635746663843387,Advanced Economies
32,1980,1329013.443,1491887.82,0.4711307908688046,Advanced Economies
33,1981,1317625.506,1431781.005,0.4792399744193375,Advanced Economies
34,1982,1253730.372,1347589.001,0.48195941836781153,Advanced Economies
35,1983,1245596.418,1331911.419,0.48325611279218,Advanced Economies
36,1984,1340686.593,1452442.835,0.4799944390546874,Advanced Economies
37,1985,1386938.469,1502091.341,0.480070667391279,Advanced Economies
38,1986,1612978.92,1684823.1,0.4891072630248434,Advanced Economies
39,1987,1916757.372,2007807.364,0.48839998851786043,Advanced Economies
40,1988,2213657.82745137,2304563.66064966,0.4899400866648863,Advanced Economies
41,1989,2378316.33573965,2496710.12649996,0.48785711301493945,Advanced Economies
42,1990,2723087.06938583,2866148.19466366,0.48720208413859284,Advanced Economies
43,1991,2813665.20110167,2933121.15458632,0.48960671703356295,Advanced Economies
44,1992,3003432.39471807,3088921.29971021,0.4929839180979985,Advanced Economies
45,1993,2981982.08125853,2979213.99320124,0.5002321755586223,Advanced Economies
46,1994,3383934.00961747,3408774.43068264,0.498171537812679,Advanced Economies
47,1995,4022130.28561656,4042490.03445095,0.4987377118806369,Advanced Economies
48,1996,4142367.23693075,4197360.35841775,0.4967029425806622,Advanced Economies
49,1997,4279112.51184796,4333966.89525117,0.4968156346406143,Advanced Economies
50,1998,4236819.05600371,4305180.7470313,0.4959984961013872,Advanced Economies
51,1999,4404664.41399152,4588235.21716907,0.48979356988809963,Advanced Economies
52,2000,4794171.67687,5143821.506702,0.48240842877564105,Advanced Economies
53,2001,4602699.596592,4902884.524144,0.48421007463932914,Advanced Economies
54,2002,4772920.108621,5058896.130679,0.4854566025697831,Advanced Economies
55,2003,5504077.06229,5868955.897127,0.48395859591109,Advanced Economies
56,2004,6517071.299901,7002793.240569,0.4820367305007364,Advanced Economies
57,2005,7132815.559604,7837307.041806,0.47647008307949174,Advanced Economies
58,2006,8020333.498487,8877122.527006,0.47464739582022375,Advanced Economies
59,2007,9134508.843751,9964245.549046,0.47827772722162626,Advanced Economies
60,2008,10140954.494444,11145758.639722,0.47639832559059453,Advanced Economies
