,year,v2x_corr,v2x_execorr,v2x_pubcorr,country
161,1950,0.819,0.828,0.76,MEX
162,1951,0.819,0.828,0.76,MEX
163,1952,0.819,0.828,0.76,MEX
164,1953,0.819,0.828,0.76,MEX
165,1954,0.819,0.828,0.76,MEX
166,1955,0.819,0.828,0.76,MEX
167,1956,0.819,0.828,0.76,MEX
168,1957,0.819,0.828,0.76,MEX
169,1958,0.819,0.828,0.76,MEX
170,1959,0.819,0.828,0.76,MEX
171,1960,0.819,0.828,0.76,MEX
172,1961,0.819,0.828,0.76,MEX
173,1962,0.819,0.828,0.76,MEX
174,1963,0.819,0.828,0.76,MEX
175,1964,0.819,0.828,0.76,MEX
176,1965,0.819,0.828,0.76,MEX
177,1966,0.819,0.828,0.76,MEX
178,1967,0.819,0.828,0.76,MEX
179,1968,0.819,0.828,0.76,MEX
180,1969,0.819,0.828,0.76,MEX
181,1970,0.819,0.828,0.76,MEX
182,1971,0.819,0.828,0.76,MEX
183,1972,0.819,0.828,0.76,MEX
184,1973,0.819,0.828,0.76,MEX
185,1974,0.819,0.828,0.76,MEX
186,1975,0.819,0.828,0.76,MEX
187,1976,0.819,0.828,0.76,MEX
188,1977,0.819,0.828,0.76,MEX
189,1978,0.819,0.828,0.76,MEX
190,1979,0.819,0.828,0.76,MEX
191,1980,0.819,0.828,0.76,MEX
192,1981,0.819,0.828,0.76,MEX
193,1982,0.777,0.748,0.681,MEX
194,1983,0.77,0.748,0.648,MEX
195,1984,0.77,0.748,0.648,MEX
196,1985,0.77,0.748,0.648,MEX
197,1986,0.77,0.748,0.648,MEX
198,1987,0.77,0.748,0.648,MEX
199,1988,0.77,0.748,0.648,MEX
200,1989,0.766,0.748,0.648,MEX
201,1990,0.766,0.748,0.648,MEX
202,1991,0.766,0.748,0.648,MEX
203,1992,0.766,0.748,0.648,MEX
204,1993,0.766,0.748,0.648,MEX
205,1994,0.676,0.517,0.577,MEX
206,1995,0.658,0.517,0.506,MEX
207,1996,0.658,0.517,0.506,MEX
208,1997,0.639,0.5,0.441,MEX
209,1998,0.637,0.5,0.441,MEX
210,1999,0.637,0.5,0.441,MEX
211,2000,0.55,0.345,0.377,MEX
212,2001,0.548,0.363,0.355,MEX
213,2002,0.573,0.363,0.355,MEX
214,2003,0.608,0.363,0.497,MEX
215,2004,0.608,0.363,0.497,MEX
216,2005,0.608,0.363,0.497,MEX
217,2006,0.607,0.369,0.488,MEX
218,2007,0.607,0.369,0.488,MEX
219,2008,0.607,0.369,0.488,MEX
220,2009,0.607,0.369,0.488,MEX
221,2010,0.632,0.369,0.499,MEX
222,2011,0.632,0.369,0.499,MEX
223,2012,0.661,0.45,0.518,MEX
224,2013,0.759,0.655,0.63,MEX
225,2014,0.759,0.655,0.63,MEX
226,2015,0.726,0.655,0.63,MEX
227,2016,0.726,0.655,0.63,MEX
228,2017,0.686,0.642,0.63,MEX
229,2018,0.655,0.558,0.622,MEX
230,2019,0.611,0.47,0.526,MEX
231,2020,0.598,0.443,0.502,MEX
232,2021,0.51,0.455,0.44,MEX
233,2022,0.549,0.532,0.515,MEX
286,1950,0.108,0.116,0.241,SUR
287,1951,0.108,0.116,0.241,SUR
288,1952,0.108,0.116,0.241,SUR
289,1953,0.108,0.116,0.241,SUR
290,1954,0.108,0.116,0.241,SUR
291,1955,0.108,0.116,0.241,SUR
292,1956,0.108,0.116,0.241,SUR
293,1957,0.108,0.116,0.241,SUR
294,1958,0.108,0.116,0.241,SUR
295,1959,0.108,0.116,0.241,SUR
296,1960,0.108,0.116,0.241,SUR
297,1961,0.108,0.116,0.241,SUR
298,1962,0.108,0.116,0.241,SUR
299,1963,0.108,0.116,0.241,SUR
300,1964,0.108,0.116,0.241,SUR
301,1965,0.108,0.116,0.241,SUR
302,1966,0.108,0.116,0.241,SUR
303,1967,0.108,0.116,0.241,SUR
304,1968,0.108,0.116,0.241,SUR
305,1969,0.108,0.116,0.241,SUR
306,1970,0.108,0.116,0.241,SUR
307,1971,0.108,0.116,0.241,SUR
308,1972,0.108,0.116,0.241,SUR
309,1973,0.108,0.116,0.241,SUR
310,1974,0.108,0.116,0.241,SUR
311,1975,0.112,0.134,0.241,SUR
312,1976,0.144,0.134,0.241,SUR
313,1977,0.144,0.134,0.241,SUR
314,1978,0.144,0.134,0.241,SUR
315,1979,0.144,0.134,0.241,SUR
316,1980,0.198,0.253,0.285,SUR
317,1981,0.198,0.253,0.285,SUR
318,1982,0.198,0.253,0.285,SUR
319,1983,0.198,0.253,0.285,SUR
320,1984,0.198,0.253,0.285,SUR
321,1985,0.19,0.253,0.285,SUR
322,1986,0.19,0.253,0.285,SUR
323,1987,0.228,0.253,0.285,SUR
324,1988,0.221,0.227,0.285,SUR
325,1989,0.229,0.223,0.313,SUR
326,1990,0.2,0.223,0.313,SUR
327,1991,0.2,0.223,0.313,SUR
328,1992,0.228,0.223,0.313,SUR
329,1993,0.222,0.2,0.3,SUR
330,1994,0.222,0.2,0.3,SUR
331,1995,0.222,0.2,0.3,SUR
332,1996,0.205,0.2,0.3,SUR
333,1997,0.205,0.2,0.3,SUR
334,1998,0.205,0.2,0.3,SUR
335,1999,0.205,0.2,0.3,SUR
336,2000,0.205,0.2,0.3,SUR
337,2001,0.205,0.2,0.3,SUR
338,2002,0.205,0.2,0.3,SUR
339,2003,0.205,0.2,0.3,SUR
340,2004,0.205,0.2,0.3,SUR
341,2005,0.205,0.2,0.3,SUR
342,2006,0.205,0.2,0.3,SUR
343,2007,0.205,0.2,0.3,SUR
344,2008,0.205,0.2,0.3,SUR
345,2009,0.205,0.2,0.3,SUR
346,2010,0.214,0.2,0.337,SUR
347,2011,0.214,0.2,0.337,SUR
348,2012,0.214,0.2,0.337,SUR
349,2013,0.235,0.214,0.412,SUR
350,2014,0.235,0.214,0.412,SUR
351,2015,0.235,0.214,0.412,SUR
352,2016,0.257,0.205,0.412,SUR
353,2017,0.277,0.222,0.451,SUR
354,2018,0.286,0.207,0.451,SUR
355,2019,0.286,0.207,0.451,SUR
356,2020,0.212,0.161,0.241,SUR
357,2021,0.205,0.161,0.241,SUR
358,2022,0.205,0.161,0.241,SUR
522,1950,0.004,0.004,0.005,SWE
523,1951,0.004,0.004,0.005,SWE
524,1952,0.004,0.004,0.005,SWE
525,1953,0.004,0.004,0.005,SWE
526,1954,0.004,0.004,0.005,SWE
527,1955,0.004,0.004,0.005,SWE
528,1956,0.004,0.004,0.005,SWE
529,1957,0.004,0.004,0.005,SWE
530,1958,0.004,0.004,0.005,SWE
531,1959,0.004,0.004,0.005,SWE
532,1960,0.004,0.004,0.005,SWE
533,1961,0.004,0.004,0.005,SWE
534,1962,0.004,0.004,0.005,SWE
535,1963,0.004,0.004,0.005,SWE
536,1964,0.004,0.004,0.005,SWE
537,1965,0.004,0.004,0.005,SWE
538,1966,0.004,0.004,0.005,SWE
539,1967,0.004,0.004,0.005,SWE
540,1968,0.004,0.004,0.005,SWE
541,1969,0.004,0.004,0.005,SWE
542,1970,0.004,0.004,0.005,SWE
543,1971,0.004,0.004,0.005,SWE
544,1972,0.004,0.004,0.005,SWE
545,1973,0.004,0.004,0.005,SWE
546,1974,0.004,0.004,0.005,SWE
547,1975,0.004,0.004,0.005,SWE
548,1976,0.004,0.004,0.005,SWE
549,1977,0.004,0.004,0.005,SWE
550,1978,0.004,0.004,0.005,SWE
551,1979,0.004,0.004,0.005,SWE
552,1980,0.004,0.004,0.005,SWE
553,1981,0.004,0.004,0.005,SWE
