,year,v2x_regime,v2x_polyarchy,v2x_liberal,country
161,1950,1.0,0.197,0.262,MEX
162,1951,1.0,0.197,0.262,MEX
163,1952,1.0,0.197,0.262,MEX
164,1953,1.0,0.196,0.267,MEX
165,1954,1.0,0.23,0.27,MEX
166,1955,1.0,0.232,0.27,MEX
167,1956,1.0,0.233,0.27,MEX
168,1957,1.0,0.233,0.27,MEX
169,1958,1.0,0.232,0.268,MEX
170,1959,1.0,0.232,0.266,MEX
171,1960,1.0,0.231,0.269,MEX
172,1961,1.0,0.232,0.269,MEX
173,1962,1.0,0.232,0.269,MEX
174,1963,1.0,0.232,0.269,MEX
175,1964,1.0,0.231,0.267,MEX
176,1965,1.0,0.231,0.267,MEX
177,1966,1.0,0.231,0.267,MEX
178,1967,1.0,0.236,0.267,MEX
179,1968,1.0,0.236,0.267,MEX
180,1969,1.0,0.241,0.267,MEX
181,1970,1.0,0.248,0.264,MEX
182,1971,1.0,0.246,0.264,MEX
183,1972,1.0,0.249,0.264,MEX
184,1973,1.0,0.249,0.264,MEX
185,1974,1.0,0.249,0.264,MEX
186,1975,1.0,0.249,0.262,MEX
187,1976,1.0,0.261,0.262,MEX
188,1977,1.0,0.273,0.278,MEX
189,1978,1.0,0.296,0.278,MEX
190,1979,1.0,0.296,0.278,MEX
191,1980,1.0,0.299,0.278,MEX
192,1981,1.0,0.304,0.279,MEX
193,1982,1.0,0.313,0.289,MEX
194,1983,1.0,0.319,0.301,MEX
195,1984,1.0,0.319,0.301,MEX
196,1985,1.0,0.322,0.301,MEX
197,1986,1.0,0.325,0.301,MEX
198,1987,1.0,0.329,0.307,MEX
199,1988,1.0,0.343,0.326,MEX
200,1989,1.0,0.367,0.347,MEX
201,1990,1.0,0.389,0.362,MEX
202,1991,1.0,0.412,0.365,MEX
203,1992,1.0,0.437,0.372,MEX
204,1993,1.0,0.447,0.372,MEX
205,1994,1.0,0.47,0.456,MEX
206,1995,1.0,0.48,0.485,MEX
207,1996,2.0,0.508,0.485,MEX
208,1997,2.0,0.556,0.562,MEX
209,1998,2.0,0.598,0.567,MEX
210,1999,2.0,0.602,0.567,MEX
211,2000,2.0,0.664,0.687,MEX
212,2001,2.0,0.677,0.685,MEX
213,2002,2.0,0.688,0.685,MEX
214,2003,2.0,0.699,0.679,MEX
215,2004,2.0,0.71,0.679,MEX
216,2005,2.0,0.71,0.679,MEX
217,2006,2.0,0.671,0.673,MEX
218,2007,2.0,0.637,0.67,MEX
219,2008,2.0,0.642,0.67,MEX
220,2009,2.0,0.648,0.67,MEX
221,2010,2.0,0.661,0.674,MEX
222,2011,2.0,0.66,0.674,MEX
223,2012,2.0,0.649,0.67,MEX
224,2013,2.0,0.623,0.633,MEX
225,2014,2.0,0.62,0.633,MEX
226,2015,2.0,0.639,0.629,MEX
227,2016,2.0,0.64,0.624,MEX
228,2017,2.0,0.635,0.648,MEX
229,2018,2.0,0.675,0.62,MEX
230,2019,2.0,0.685,0.567,MEX
231,2020,2.0,0.663,0.544,MEX
232,2021,2.0,0.618,0.523,MEX
233,2022,2.0,0.586,0.488,MEX
234,2023,2.0,0.549,0.473,MEX
286,1950,2.0,0.502,0.788,SUR
287,1951,2.0,0.502,0.788,SUR
288,1952,2.0,0.502,0.788,SUR
289,1953,2.0,0.502,0.788,SUR
290,1954,2.0,0.502,0.788,SUR
291,1955,2.0,0.525,0.798,SUR
292,1956,2.0,0.525,0.798,SUR
293,1957,2.0,0.526,0.798,SUR
294,1958,2.0,0.526,0.798,SUR
295,1959,2.0,0.526,0.798,SUR
296,1960,2.0,0.526,0.798,SUR
297,1961,2.0,0.526,0.798,SUR
298,1962,2.0,0.526,0.798,SUR
299,1963,2.0,0.527,0.8,SUR
300,1964,2.0,0.527,0.8,SUR
301,1965,2.0,0.527,0.8,SUR
302,1966,2.0,0.527,0.8,SUR
303,1967,2.0,0.527,0.8,SUR
304,1968,2.0,0.527,0.8,SUR
305,1969,2.0,0.526,0.8,SUR
306,1970,2.0,0.527,0.803,SUR
307,1971,2.0,0.527,0.803,SUR
308,1972,2.0,0.527,0.803,SUR
309,1973,2.0,0.524,0.803,SUR
310,1974,2.0,0.528,0.806,SUR
311,1975,1.0,0.371,0.82,SUR
312,1976,2.0,0.731,0.849,SUR
313,1977,2.0,0.732,0.839,SUR
314,1978,2.0,0.742,0.851,SUR
315,1979,2.0,0.742,0.851,SUR
316,1980,0.0,0.221,0.493,SUR
317,1981,0.0,0.174,0.458,SUR
318,1982,0.0,0.167,0.46,SUR
319,1983,0.0,0.163,0.46,SUR
320,1984,0.0,0.163,0.46,SUR
321,1985,0.0,0.172,0.614,SUR
322,1986,0.0,0.171,0.614,SUR
