country,Unnamed: 0,country,year,General government final consumption expenditure (% of GDP),gdp_pc_lag1,rtfpna,"Mortality rate, infant (per 1,000 live births)",fe_etfra,gdppc,pop,v2x_regime,v2x_polyarchy,v2x_liberal,hc,Tax revenue (% of GDP),Population growth rate - Sex: all - Age: all - Variant: estimates,v2x_corr,v2x_execorr,v2x_pubcorr
AFG,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,1.0,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,1.0,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
AGO,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.3783783783783784,0.14864864864864866,0.36486486486486486,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.32432432432432434,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
ALB,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,1.0,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.32432432432432434,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
ARE,0.0,0.0,0.0,0.14864864864864866,0.3108108108108108,1.0,0.14864864864864866,0.3108108108108108,0.3108108108108108,0.28378378378378377,0.28378378378378377,0.28378378378378377,0.28378378378378377,0.32432432432432434,0.14864864864864866,0.013513513513513514,0.2972972972972973,0.2972972972972973,0.2972972972972973
ARG,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.10810810810810811,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.05405405405405406,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
ARM,0.0,0.0,0.0,0.14864864864864866,0.4189189189189189,0.6486486486486487,0.14864864864864866,0.581081081081081,0.40540540540540543,0.28378378378378377,0.5405405405405406,0.5405405405405406,0.5405405405405406,0.5945945945945946,0.14864864864864866,0.013513513513513514,0.5540540540540541,0.5540540540540541,0.5540540540540541
AUS,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.10810810810810811,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.05405405405405406,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
AUT,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.10810810810810811,0.14864864864864866,0.08108108108108109,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.05405405405405406,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
AZE,0.0,0.0,0.0,0.14864864864864866,0.4189189189189189,1.0,0.14864864864864866,0.581081081081081,0.40540540540540543,0.28378378378378377,0.5405405405405406,0.5405405405405406,0.5405405405405406,1.0,0.14864864864864866,0.013513513513513514,0.5540540540540541,0.5540540540540541,0.5540540540540541
BDI,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.4594594594594595,0.14864864864864866,0.1891891891891892,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.1891891891891892,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
