year,Unnamed: 0,country,year,General government final consumption expenditure (% of GDP),gdp_pc_lag1,rtfpna,"Mortality rate, infant (per 1,000 live births)",fe_etfra,gdppc,pop,v2x_regime,v2x_polyarchy,v2x_liberal,hc,Tax revenue (% of GDP),Population growth rate - Sex: all - Age: all - Variant: estimates,v2x_corr,v2x_execorr,v2x_pubcorr
1950,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6831275720164609,1.0,1.0,0.35802469135802467,0.35802469135802467,0.3662551440329218,0.7860082304526749,1.0,0.0,0.3662551440329218,0.36213991769547327,0.36213991769547327
1951,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6831275720164609,1.0,1.0,0.35390946502057613,0.35390946502057613,0.36213991769547327,0.7654320987654321,1.0,0.0,0.36213991769547327,0.35802469135802467,0.35802469135802467
1952,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6790123456790124,1.0,1.0,0.35390946502057613,0.35390946502057613,0.36213991769547327,0.7613168724279835,1.0,0.0,0.36213991769547327,0.35802469135802467,0.35802469135802467
1953,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6790123456790124,1.0,1.0,0.35390946502057613,0.35390946502057613,0.36213991769547327,0.7530864197530864,1.0,0.0,0.36213991769547327,0.35802469135802467,0.35802469135802467
1954,0.0,0.0,0.0,1.0,1.0,0.8065843621399177,1.0,0.6707818930041153,1.0,1.0,0.35390946502057613,0.35390946502057613,0.36213991769547327,0.7366255144032922,1.0,0.0,0.36213991769547327,0.35802469135802467,0.35802469135802467
1955,0.0,0.0,0.0,1.0,1.0,0.7901234567901234,1.0,0.6666666666666666,1.0,1.0,0.35390946502057613,0.35390946502057613,0.36213991769547327,0.720164609053498,1.0,0.0,0.36213991769547327,0.35802469135802467,0.35802469135802467
1956,0.0,0.0,0.0,1.0,1.0,0.7860082304526749,1.0,0.654320987654321,1.0,1.0,0.35390946502057613,0.35390946502057613,0.36213991769547327,0.720164609053498,1.0,0.0,0.36213991769547327,0.35802469135802467,0.35802469135802467
1957,0.0,0.0,0.0,1.0,1.0,0.7777777777777778,1.0,0.6502057613168725,1.0,1.0,0.35390946502057613,0.35390946502057613,0.36213991769547327,0.720164609053498,1.0,0.0,0.36213991769547327,0.35802469135802467,0.35802469135802467
1958,0.0,0.0,0.0,1.0,1.0,0.7654320987654321,1.0,0.6502057613168725,1.0,1.0,0.35390946502057613,0.35390946502057613,0.36213991769547327,0.720164609053498,1.0,0.0,0.36213991769547327,0.35802469135802467,0.35802469135802467
1959,0.0,0.0,0.0,1.0,1.0,0.7530864197530864,1.0,0.6460905349794238,1.0,1.0,0.35390946502057613,0.35390946502057613,0.3662551440329218,0.7119341563786008,1.0,0.0,0.36213991769547327,0.35802469135802467,0.35802469135802467
1960,0.0,0.0,0.0,0.0875,1.0,0.7416666666666667,0.0875,0.625,1.0,1.0,0.35833333333333334,0.35833333333333334,0.36666666666666664,0.5708333333333333,0.0875,0.0,0.36666666666666664,0.3625,0.3625
1961,0.0,0.0,0.0,0.0875,1.0,0.7416666666666667,0.0875,0.5625,1.0,1.0,0.3541666666666667,0.3541666666666667,0.3625,0.5666666666666667,0.0875,0.0,0.3625,0.35833333333333334,0.35833333333333334
1962,0.0,0.0,0.0,0.0875,1.0,0.7416666666666667,0.0875,0.5625,1.0,1.0,0.3541666666666667,0.3541666666666667,0.3625,0.5625,0.0875,0.0,0.3625,0.35833333333333334,0.35833333333333334
1963,0.0,0.0,0.0,0.0875,1.0,0.7375,0.0875,0.5333333333333333,1.0,1.0,0.3541666666666667,0.3541666666666667,0.3625,0.5625,0.0875,0.0,0.3625,0.35833333333333334,0.35833333333333334
1964,0.0,0.0,0.0,0.0875,1.0,0.675,0.0875,0.525,1.0,1.0,0.3541666666666667,0.3541666666666667,0.36666666666666664,0.5583333333333333,0.0875,0.0,0.3625,0.35833333333333334,0.35833333333333334
1965,0.0,0.0,0.0,0.0875,1.0,0.675,0.0875,0.5125,1.0,1.0,0.3541666666666667,0.3541666666666667,0.36666666666666664,0.5583333333333333,0.0875,0.0,0.3625,0.35833333333333334,0.35833333333333334
1966,0.0,0.0,0.0,0.0875,1.0,0.675,0.0875,0.5,1.0,1.0,0.3541666666666667,0.3541666666666667,0.3625,0.5583333333333333,0.0875,0.0,0.3625,0.35833333333333334,0.35833333333333334
1967,0.0,0.0,0.0,0.0875,1.0,0.675,0.0875,0.49166666666666664,1.0,1.0,0.3541666666666667,0.3541666666666667,0.3625,0.5583333333333333,0.0875,0.0,0.3625,0.35833333333333334,0.35833333333333334
1968,0.0,0.0,0.0,0.0875,1.0,0.675,0.0875,0.4875,1.0,1.0,0.3541666666666667,0.3541666666666667,0.3625,0.5583333333333333,0.0875,0.0,0.3625,0.35833333333333334,0.35833333333333334
1969,0.0,0.0,0.0,0.0875,1.0,0.6708333333333333,0.0875,0.48333333333333334,1.0,1.0,0.3541666666666667,0.3541666666666667,0.3625,0.5583333333333333,0.0875,0.0,0.3625,0.35833333333333334,0.35833333333333334
1970,0.0,0.0,0.0,0.08641975308641975,0.37037037037037035,0.6707818930041153,0.08641975308641975,0.4897119341563786,0.36213991769547327,0.2962962962962963,0.3497942386831276,0.3497942386831276,0.35802469135802467,0.4732510288065844,0.08641975308641975,0.0,0.35802469135802467,0.35390946502057613,0.35390946502057613
1971,0.0,0.0,0.0,0.08641975308641975,0.36213991769547327,0.6707818930041153,0.08641975308641975,0.48148148148148145,0.36213991769547327,0.2962962962962963,0.34156378600823045,0.34156378600823045,0.3497942386831276,0.4732510288065844,0.08641975308641975,0.0,0.3497942386831276,0.345679012345679,0.345679012345679
1972,0.0,0.0,0.0,0.08641975308641975,0.36213991769547327,0.6707818930041153,0.08641975308641975,0.4732510288065844,0.36213991769547327,0.2962962962962963,0.34156378600823045,0.34156378600823045,0.3497942386831276,0.4732510288065844,0.08641975308641975,0.0,0.3497942386831276,0.345679012345679,0.345679012345679
1973,0.0,0.0,0.0,0.08641975308641975,0.36213991769547327,0.6707818930041153,0.08641975308641975,0.4732510288065844,0.3045267489711934,0.2962962962962963,0.34156378600823045,0.34156378600823045,0.3497942386831276,0.4732510288065844,0.08641975308641975,0.0,0.3497942386831276,0.345679012345679,0.345679012345679
1974,0.0,0.0,0.0,0.08641975308641975,0.3045267489711934,0.6296296296296297,0.08641975308641975,0.4732510288065844,0.36213991769547327,0.2962962962962963,0.34156378600823045,0.34156378600823045,0.3497942386831276,0.4732510288065844,0.08641975308641975,0.0,0.3497942386831276,0.345679012345679,0.345679012345679
1975,0.0,0.0,0.0,0.08641975308641975,0.36213991769547327,0.6296296296296297,0.08641975308641975,0.46502057613168724,0.36213991769547327,0.2962962962962963,0.34156378600823045,0.34156378600823045,0.3497942386831276,0.4732510288065844,0.08641975308641975,0.0,0.3497942386831276,0.345679012345679,0.345679012345679
1976,0.0,0.0,0.0,0.08641975308641975,0.36213991769547327,0.6296296296296297,0.08641975308641975,0.4567901234567901,0.36213991769547327,0.2962962962962963,0.34156378600823045,0.34156378600823045,0.3497942386831276,0.4732510288065844,0.08641975308641975,0.0,0.3497942386831276,0.345679012345679,0.345679012345679
1977,0.0,0.0,0.0,0.08641975308641975,0.36213991769547327,0.6255144032921811,0.08641975308641975,0.448559670781893,0.36213991769547327,0.2962962962962963,0.34156378600823045,0.34156378600823045,0.3497942386831276,0.4732510288065844,0.08641975308641975,0.0,0.3497942386831276,0.345679012345679,0.345679012345679
1978,0.0,0.0,0.0,0.08641975308641975,0.36213991769547327,0.6255144032921811,0.08641975308641975,0.448559670781893,0.36213991769547327,0.2962962962962963,0.34156378600823045,0.34156378600823045,0.3497942386831276,0.4732510288065844,0.08641975308641975,0.0,0.3497942386831276,0.345679012345679,0.345679012345679
1979,0.0,0.0,0.0,0.08641975308641975,0.36213991769547327,0.6255144032921811,0.08641975308641975,0.448559670781893,0.36213991769547327,0.2962962962962963,0.34156378600823045,0.34156378600823045,0.35390946502057613,0.4732510288065844,0.08641975308641975,0.0,0.3497942386831276,0.345679012345679,0.345679012345679
1980,0.0,0.0,0.0,0.08641975308641975,0.36213991769547327,0.5761316872427984,0.08641975308641975,0.448559670781893,0.3045267489711934,0.2962962962962963,0.34156378600823045,0.34156378600823045,0.3497942386831276,0.4732510288065844,0.08641975308641975,0.0,0.3497942386831276,0.345679012345679,0.345679012345679
1981,0.0,0.0,0.0,0.08641975308641975,0.3045267489711934,0.5761316872427984,0.08641975308641975,0.448559670781893,0.3045267489711934,0.2962962962962963,0.34156378600823045,0.34156378600823045,0.3497942386831276,0.4732510288065844,0.08641975308641975,0.0,0.3497942386831276,0.345679012345679,0.345679012345679
1982,0.0,0.0,0.0,0.08641975308641975,0.3045267489711934,0.5761316872427984,0.08641975308641975,0.448559670781893,0.3045267489711934,0.2962962962962963,0.34156378600823045,0.34156378600823045,0.3497942386831276,0.4732510288065844,0.08641975308641975,0.0,0.3497942386831276,0.345679012345679,0.345679012345679
1983,0.0,0.0,0.0,0.08641975308641975,0.3045267489711934,0.5761316872427984,0.08641975308641975,0.448559670781893,0.3045267489711934,0.2962962962962963,0.34156378600823045,0.34156378600823045,0.3497942386831276,0.4732510288065844,0.08641975308641975,0.0,0.3497942386831276,0.345679012345679,0.345679012345679
1984,0.0,0.0,0.0,0.08641975308641975,0.3045267489711934,0.5761316872427984,0.08641975308641975,0.448559670781893,0.3045267489711934,0.2962962962962963,0.34156378600823045,0.34156378600823045,0.3497942386831276,0.4732510288065844,0.08641975308641975,0.0,0.3497942386831276,0.345679012345679,0.345679012345679
1985,0.0,0.0,0.0,0.08641975308641975,0.3045267489711934,0.5761316872427984,0.08641975308641975,0.448559670781893,0.3004115226337449,0.2962962962962963,0.34156378600823045,0.34156378600823045,0.3497942386831276,0.4732510288065844,0.08641975308641975,0.0,0.3497942386831276,0.345679012345679,0.345679012345679
1986,0.0,0.0,0.0,0.08641975308641975,0.3004115226337449,0.5761316872427984,0.08641975308641975,0.448559670781893,0.3004115226337449,0.2962962962962963,0.34156378600823045,0.34156378600823045,0.3497942386831276,0.4732510288065844,0.08641975308641975,0.0,0.3497942386831276,0.345679012345679,0.345679012345679
1987,0.0,0.0,0.0,0.08641975308641975,0.3004115226337449,0.5761316872427984,0.08641975308641975,0.448559670781893,0.3004115226337449,0.2962962962962963,0.34156378600823045,0.34156378600823045,0.3497942386831276,0.4732510288065844,0.08641975308641975,0.0,0.3497942386831276,0.345679012345679,0.345679012345679
1988,0.0,0.0,0.0,0.08641975308641975,0.3004115226337449,0.5761316872427984,0.08641975308641975,0.448559670781893,0.3004115226337449,0.2962962962962963,0.34156378600823045,0.34156378600823045,0.3497942386831276,0.4732510288065844,0.08641975308641975,0.0,0.3497942386831276,0.345679012345679,0.345679012345679
